vendor,date,old_cents,new_cents,diff_cents,old_rows,docs
amazon,2026-02-08,0,100121,100121,0,1
foremost insurance g,2026-02-08,37458,0,-37458,1,0
wayfair,2026-02-08,81618,0,-81618,1,0
amazon,2026-02-09,34076,9079,-24997,3,1
uber,2026-02-09,4998,0,-4998,1,0
floor and decor,2026-02-10,0,75006,75006,0,1
floor decor,2026-02-10,75006,0,-75006,1,0
lowes,2026-02-10,19914,23806,3892,2,1
amazon,2026-02-11,0,32474,32474,0,1
city of corsicana,2026-02-11,2250,0,-2250,1,0
julio,2026-02-11,20000,0,-20000,1,0
atlas pools,2026-02-12,200000,0,-200000,1,0
city of corsicana,2026-02-12,2730,0,-2730,1,0
corelogic,2026-02-12,40000,0,-40000,1,0
homedepot,2026-02-12,9100,31334,22234,4,2
julio,2026-02-12,20000,0,-20000,2,0
atmos,2026-02-13,0,64260,64260,0,1
julio,2026-02-13,20000,0,-20000,1,0
salvador campos,2026-02-13,388000,0,-388000,1,0
homedepot,2026-02-14,34308,35312,1004,4,1
homedepot,2026-02-15,10491,41140,30649,4,2
harborfreight,2026-02-16,26944,25077,-1867,8,1
homedepot,2026-02-16,18337,21417,3080,5,2
julio,2026-02-16,20000,0,-20000,1,0
energy texas rhythm ,2026-02-17,0,24017,24017,0,1
homedepot,2026-02-17,23363,16608,-6755,6,1
julio,2026-02-17,20000,0,-20000,1,0
myknobs com,2026-02-17,26815,0,-26815,1,0
myknobs inc,2026-02-17,0,26815,26815,0,1
driversnote,2026-02-18,1200,0,-1200,1,0
exxon,2026-02-18,5244,0,-5244,1,0
homedepot,2026-02-18,8252,6956,-1296,6,1
julio,2026-02-18,40000,0,-40000,2,0
uber,2026-02-18,16884,0,-16884,2,0
homedepot,2026-02-19,66378,67675,1297,14,3
ideal resurfacing an,2026-02-19,0,40000,40000,0,1
lowes,2026-02-19,147859,295718,147859,4,2
shalom granite,2026-02-19,0,850800,850800,0,1
city of corsicana,2026-02-20,2250,0,-2250,1,0
homedepot,2026-02-20,13508,13507,-1,3,1
julio,2026-02-20,20000,0,-20000,1,0
shalom granite,2026-02-20,355800,0,-355800,1,0
architecturaldepot c,2026-02-22,0,139066,139066,0,2
pebble tile shop,2026-02-22,1499,0,-1499,1,0
city of ovilla,2026-02-23,4914,0,-4914,1,0
amazon,2026-02-24,1081,0,-1081,1,0
lgs,2026-02-25,1000,1030,30,1,1
homedepot,2026-02-26,27372,0,-27372,1,0
corelogic,2026-02-28,0,20000,20000,0,1
homedepot,2026-02-28,248,284,36,1,1
uber,2026-02-28,5198,0,-5198,1,0
atlas pools,2026-03-01,200000,0,-200000,1,0
micky atlas pools,2026-03-01,0,200000,200000,0,1
homedepot,2026-03-02,28221,73414,45193,5,4
lowes,2026-03-02,2852,0,-2852,1,0
homedepot,2026-03-04,3995,3996,1,2,1
the ups store 5780,2026-03-04,0,573,573,0,1
armandre vega,2026-03-05,9897,52481,42584,1,1
homedepot,2026-03-05,124438,42584,-81854,8,1
amazon,2026-03-06,4328,14611,10283,1,1
chase,2026-03-06,600,0,-600,1,0
energy texas,2026-03-06,24017,8629,-15388,1,1
homedepot,2026-03-06,17366,0,-17366,3,0
jpmorgan chase bank ,2026-03-06,0,600,600,0,1
juanito unidentified,2026-03-06,0,250000,250000,0,1
shalom granite,2026-03-06,495000,0,-495000,1,0
floor decor,2026-03-07,38479,0,-38479,2,0
atmos,2026-03-08,64260,0,-64260,1,0
homedepot,2026-03-08,8683,0,-8683,3,0
barker door,2026-03-09,25450,0,-25450,1,0
homedepot,2026-03-09,0,8383,8383,0,1
city of corsicana,2026-03-10,2730,0,-2730,1,0
foremost insurance g,2026-03-10,37458,0,-37458,1,0
homedepot,2026-03-10,1691,0,-1691,1,0
julio,2026-03-10,20000,0,-20000,1,0
mobil,2026-03-10,0,6927,6927,0,1
ping lighting,2026-03-10,0,19840,19840,0,2
shell,2026-03-10,6927,0,-6927,1,0
homedepot,2026-03-11,7648,668,-6980,3,1
atmos,2026-03-12,0,28318,28318,0,2
homedepot,2026-03-12,104305,67329,-36976,10,1
fedex,2026-03-13,1190,0,-1190,1,0
fedex office,2026-03-13,0,1190,1190,0,1
lowes,2026-03-13,10913,0,-10913,2,0
lumens,2026-03-13,12081,0,-12081,1,0
amazon,2026-03-15,0,2532,2532,0,1
homedepot,2026-03-15,31300,3672,-27628,9,1
homedepot,2026-03-16,31664,0,-31664,4,0
wayfair,2026-03-16,0,9308,9308,0,1
amazon,2026-03-17,59833,59671,-162,3,1
homedepot,2026-03-17,6463,0,-6463,1,0
julio,2026-03-17,20000,0,-20000,1,1
the ups store 5780,2026-03-17,0,357,357,0,1
uber,2026-03-17,1899,0,-1899,1,0
atlas pools,2026-03-18,0,49000,49000,0,1
driversnote,2026-03-18,1200,0,-1200,1,0
flexitions,2026-03-18,65334,130668,65334,1,2
floor and decor,2026-03-18,0,42319,42319,0,1
floor decor,2026-03-18,37894,0,-37894,1,0
homedepot,2026-03-18,13398,5447,-7951,4,1
walton s muffler bra,2026-03-18,0,59377,59377,0,1
wayfair,2026-03-18,0,7685,7685,0,1
floor and decor,2026-03-19,0,1871,1871,0,1
floor decor,2026-03-19,-8360,0,8360,3,0
harborfreight,2026-03-19,40267,0,-40267,1,0
homedepot,2026-03-19,54527,104898,50371,1,2
lowes,2026-03-19,103247,45886,-57361,5,2
atlas pools,2026-03-20,51165,0,-51165,2,0
homedepot,2026-03-21,0,38993,38993,0,1
lightslux,2026-03-21,16000,0,-16000,1,0
lowes,2026-03-21,15859,0,-15859,8,0
farmers insurance,2026-03-22,0,37458,37458,0,1
homedepot,2026-03-22,49355,51416,2061,9,1
sherwin williams,2026-03-22,5572,0,-5572,1,0
atlas pools,2026-03-23,0,212000,212000,0,1
city of corsicana,2026-03-23,2730,0,-2730,1,0
homedepot,2026-03-23,9806,9807,1,3,1
armando vega,2026-03-24,0,388900,388900,0,1
homedepot,2026-03-24,14494,0,-14494,2,0
homedepot,2026-03-25,8076,72450,64374,3,3
lowes,2026-03-25,46626,0,-46626,6,0
miffron,2026-03-25,0,59400,59400,0,1
shell,2026-03-25,13096,6548,-6548,2,1
homedepot,2026-03-26,14383,-4474,-18857,8,2
atmos,2026-03-27,14159,0,-14159,1,0
leslie s pool suppli,2026-03-27,0,54017,54017,0,1
robinson air amp ele,2026-03-28,0,213148,213148,0,2
wayfair,2026-03-28,36260,0,-36260,1,0
atlas pools,2026-03-29,217700,0,-217700,1,0
homedepot,2026-03-29,6763,0,-6763,6,0
wayfair,2026-03-29,8009,0,-8009,1,0
ellis county tax off,2026-03-30,0,1603125,1603125,0,1
homedepot,2026-03-30,30665,24150,-6515,3,1
lowes,2026-03-30,40039,0,-40039,2,0
waxahachie,2026-03-30,103756,51878,-51878,2,1
atlas pools,2026-03-31,212000,0,-212000,1,0
corelogic,2026-03-31,0,20000,20000,0,1
homedepot,2026-04-01,73642,9358,-64284,15,1
lowes,2026-04-01,5502,0,-5502,2,0
homedepot,2026-04-02,27174,0,-27174,3,0
julio,2026-04-02,20000,0,-20000,1,0
harborfreight,2026-04-03,8225,0,-8225,1,0
homedepot,2026-04-03,11364,37918,26554,1,1
julio,2026-04-03,20000,0,-20000,1,1
lowes,2026-04-03,34154,34172,18,9,1
seconds amp surplus,2026-04-03,0,70142,70142,0,1
unknown email from p,2026-04-03,0,66667,66667,0,1
homedepot,2026-04-05,28141,46144,18003,7,2
julio,2026-04-05,20000,0,-20000,1,0
homedepot,2026-04-06,5780,21553,15773,3,2
julio,2026-04-06,20000,0,-20000,1,0
julio unidentified l,2026-04-06,0,40000,40000,0,1
valero,2026-04-06,7473,0,-7473,1,0
fnf irrigation,2026-04-07,0,96500,96500,0,1
julio,2026-04-07,20000,0,-20000,1,0
valero,2026-04-07,0,7473,7473,0,1
city of corsicana,2026-04-08,2730,0,-2730,1,0
green s greenery llc,2026-04-08,0,25915,25915,0,1
homedepot,2026-04-08,114924,109826,-5098,7,2
sherwin williams,2026-04-08,5162,0,-5162,1,0
fnf irrigation,2026-04-09,96500,193000,96500,1,2
foremost insurance g,2026-04-09,37458,0,-37458,1,0
homedepot,2026-04-09,25711,0,-25711,5,0
green s greenery llc,2026-04-10,0,231230,231230,0,2
homedepot,2026-04-10,69371,26329,-43042,5,1
luxury 4 less applia,2026-04-10,1031956,0,-1031956,1,0
shell,2026-04-10,0,7930,7930,0,1
unknown email note r,2026-04-10,0,40000,40000,0,1
julio unidentified l,2026-04-11,0,40000,40000,0,1
shell,2026-04-11,9099,4478,-4621,2,2
taco cabana,2026-04-11,0,7357,7357,0,1
aa,2026-04-12,35778,0,-35778,1,0
green s greenery llc,2026-04-13,0,34263,34263,0,1
homedepot,2026-04-13,134421,89700,-44721,3,1
julio,2026-04-13,20000,0,-20000,1,0
keith ace hardware r,2026-04-13,0,6447,6447,0,1
shell,2026-04-13,0,6927,6927,0,1
atmos,2026-04-14,0,19700,19700,0,1
green s greenery llc,2026-04-14,0,7578,7578,0,1
julio,2026-04-14,20000,0,-20000,1,0
shell,2026-04-14,0,1999,1999,0,1
braum s,2026-04-15,0,2293,2293,0,1
homedepot,2026-04-15,16537,-49106,-65643,2,1
julio,2026-04-15,30000,0,-30000,1,0
shell,2026-04-15,1097,1095,-2,1,1
city of corsicana,2026-04-16,0,2100,2100,0,1
homedepot,2026-04-16,0,-21479,-21479,0,1
lowes,2026-04-16,0,-12893,-12893,0,1
luxury 4 less applia,2026-04-16,0,17500,17500,0,1
window man window cl,2026-04-16,0,84868,84868,0,1
energy texas,2026-04-17,0,8022,8022,0,1
driversnote,2026-04-18,1200,0,-1200,1,0
luxury 4 less applia,2026-04-21,17500,0,-17500,1,0
waxahachie,2026-04-21,87818,175636,87818,1,2
aces real estate med,2026-04-24,0,62800,62800,0,1
alaska,2026-04-29,800,0,-800,1,0
uber,2026-04-29,10318,18916,8598,1,2
corelogic,2026-04-30,0,20000,20000,0,1
virtual staging ai,2026-04-30,0,7900,7900,0,1
virtual staging ai v,2026-04-30,7900,0,-7900,1,0
uber,2026-05-03,6324,0,-6324,1,0
energy texas,2026-05-04,8022,0,-8022,1,0
city of ovilla,2026-05-05,13153,0,-13153,1,0
homedepot,2026-05-05,11849,0,-11849,1,0
sunstate equipment,2026-05-05,0,90418,90418,0,1
homedepot,2026-05-07,18098,-8317,-26415,2,2
iley amp iley financ,2026-05-07,0,29900,29900,0,1
jiffy lube 3752 prem,2026-05-07,0,7351,7351,0,1
unknown not named on,2026-05-07,0,29900,29900,0,1
homedepot,2026-05-08,10706,0,-10706,1,0
julio,2026-05-08,10000,0,-10000,1,0
vistaprint,2026-05-08,0,40604,40604,0,1
foremost insurance g,2026-05-09,37458,0,-37458,1,0
atmos,2026-05-12,0,3131,3131,0,1
vistaprint,2026-05-13,0,40584,40584,0,1
anthropic,2026-05-15,4500,0,-4500,1,0
apify,2026-05-15,0,31320,31320,0,1
anthropic,2026-05-17,4500,0,-4500,1,0
apify,2026-05-18,2900,0,-2900,1,0
salvador campos,2026-05-18,38000,0,-38000,1,0
sos,2026-05-18,10000,0,-10000,1,0
sunstate equipment,2026-05-18,0,92226,92226,0,1
vicktor campos,2026-05-18,0,38000,38000,0,1
julio,2026-05-21,25000,0,-25000,1,0
julio last name unkn,2026-05-21,0,25000,25000,0,1
uber,2026-05-23,3398,6796,3398,1,2
aa,2026-05-25,0,5000,5000,0,1
uber,2026-05-25,5498,0,-5498,1,0
aa,2026-05-26,5000,0,-5000,1,0
sherwin williams,2026-05-26,5805,0,-5805,2,0
uber,2026-05-26,22976,18478,-4498,3,2
amazon,2026-05-27,32002,0,-32002,4,0
homedepot,2026-05-27,63752,122008,58256,6,3
uber,2026-05-27,0,999,999,0,1
waxahachie,2026-05-27,10395,0,-10395,1,0
homedepot,2026-05-28,42068,46395,4327,3,2
homedepot,2026-05-29,42276,23220,-19056,11,4
julio,2026-05-29,20000,0,-20000,1,0
homedepot,2026-05-30,5001,5297,296,3,2
lowes,2026-05-30,3511,2458,-1053,5,1
virtual staging ai v,2026-05-30,7900,0,-7900,1,0
corelogic,2026-05-31,0,20000,20000,0,1
homedepot,2026-05-31,5751,5174,-577,3,1
lowes,2026-05-31,4220,8440,4220,1,2
50floor,2026-06-01,131900,0,-131900,1,0
atlas pools,2026-06-01,0,25601,25601,0,1
homedepot,2026-06-02,6802,3401,-3401,2,1
keith ace hardware r,2026-06-02,0,5736,5736,0,1
southwest,2026-06-02,45027,10800,-34227,2,1
tom thumb,2026-06-02,1945,3187,1242,1,1
travelocity,2026-06-02,0,34227,34227,0,1
uber,2026-06-03,14546,27192,12646,2,4
atmos,2026-06-04,3131,0,-3131,1,0
energy texas,2026-06-04,13921,0,-13921,1,0
julio,2026-06-04,20000,0,-20000,1,0
julio camacho,2026-06-04,20000,0,-20000,1,0
foremost insurance g,2026-06-09,37458,0,-37458,1,0
telnyx,2026-06-09,5000,0,-5000,1,0
lowes,2026-06-10,3797,0,-3797,1,0
atlas pools,2026-06-11,25601,0,-25601,1,0
atmos,2026-06-11,0,3160,3160,0,1
north texas tollway ,2026-06-11,13257,4000,-9257,2,1
vistaprint,2026-06-11,0,24171,24171,0,1
50floor,2026-06-12,131900,133900,2000,1,1
julio,2026-06-12,40000,0,-40000,2,0
anthropic,2026-06-13,8666,0,-8666,2,0
netlify,2026-06-13,0,1340,1340,1,1
uber,2026-06-13,4499,0,-4499,1,0
southwest,2026-06-14,37240,9600,-27640,2,1
travelocity,2026-06-14,0,27640,27640,0,1
uber,2026-06-14,720,8998,8278,1,2
homedepot,2026-06-16,50920,58945,8025,16,1
txu,2026-06-16,48351,16117,-32234,3,1
energy texas rhythm ,2026-06-17,0,22682,22682,0,1
homedepot,2026-06-17,7678,7788,110,3,1
waxahachie,2026-06-17,40000,20000,-20000,2,1
apify,2026-06-18,2900,0,-2900,1,0
armandre vega,2026-06-18,55000,0,-55000,1,0
corelogic,2026-06-18,20000,0,-20000,1,0
homedepot,2026-06-18,5619,0,-5619,4,0
unknown no vendor na,2026-06-18,0,55000,55000,0,1
farmers insurance,2026-06-19,0,74916,74916,0,2
homedepot,2026-06-20,8652,4326,-4326,2,1
homedepot,2026-06-21,2036,0,-2036,4,0
vistaprint,2026-06-21,31868,0,-31868,2,0
homedepot,2026-06-22,38307,4672,-33635,7,1
julio,2026-06-22,20000,0,-20000,1,0
shell,2026-06-22,5470,0,-5470,1,0
homedepot,2026-06-23,37357,0,-37357,6,0
sherwin williams,2026-06-23,23794,11897,-11897,2,1
homedepot,2026-06-24,673,0,-673,1,0
julio,2026-06-24,15000,0,-15000,1,0
julio unidentified i,2026-06-24,0,15000,15000,0,1
o reilly auto parts,2026-06-24,4545,0,-4545,1,0
garcia home repair,2026-06-25,0,220000,220000,0,2
homedepot,2026-06-25,17803,0,-17803,9,0
julio unidentified l,2026-06-25,0,15000,15000,0,1
homedepot,2026-06-26,14486,14491,5,9,1
julio,2026-06-26,20000,0,-20000,1,0
julio subcontractor ,2026-06-26,0,20000,20000,0,1
shell,2026-06-26,6940,0,-6940,1,0
homedepot,2026-06-27,5300,201,-5099,4,1
walmart,2026-06-27,14073,0,-14073,1,0
homedepot,2026-06-28,28173,1382,-26791,18,2
hunter fan,2026-06-28,0,12217,12217,0,1
keith ace hardware r,2026-06-28,0,1081,1081,0,1
lowes,2026-06-28,15844,0,-15844,3,0
homedepot,2026-06-29,2703,15406,12703,1,3
lowes,2026-06-29,51233,0,-51233,3,0
mariana cleaner,2026-06-29,0,50000,50000,0,1
rockett special util,2026-06-29,0,15000,15000,0,1
txu,2026-06-29,6323,0,-6323,1,0
atlas pools,2026-06-30,25601,0,-25601,1,0
berrett pest control,2026-06-30,0,27063,27063,0,1
cool hand electric a,2026-06-30,0,56400,56400,0,1
corelogic,2026-06-30,20000,40000,20000,1,2
handwritten payment ,2026-06-30,0,47500,47500,0,1
homedepot,2026-06-30,13158,-1332,-14490,4,2
keith ace hardware r,2026-06-30,0,7032,7032,0,1
amazon,2026-07-01,0,10675,10675,0,1
city of corsicana,2026-07-01,2580,0,-2580,1,0
city of corsicana la,2026-07-01,0,2580,2580,0,1
homedepot,2026-07-01,8405,0,-8405,7,0
uber,2026-07-01,0,999,999,0,1
cool hand electric a,2026-07-02,0,120700,120700,0,1
txu,2026-07-02,0,10216,10216,0,1
uber,2026-07-04,21637,0,-21637,2,0
uber,2026-07-05,16335,37972,21637,2,4
artifex software inc,2026-07-06,999,0,-999,1,0
energy texas,2026-07-06,22682,0,-22682,1,0
energy texas rhythm ,2026-07-06,0,22682,22682,0,1
juanito and mariana ,2026-07-06,0,100000,100000,0,1
lowes,2026-07-06,11466,0,-11466,2,0
tiger mart 20,2026-07-06,0,2163,2163,0,1
butter and grace the,2026-07-07,3865,3815,-50,1,1
community archives g,2026-07-07,0,46500,46500,0,1
effren,2026-07-07,35500,0,-35500,2,0
falcon creek lawn ca,2026-07-07,5500,107000,101500,1,2
julio,2026-07-07,15000,0,-15000,1,0
julio unidentified l,2026-07-07,0,15000,15000,0,1
handwritten expense ,2026-07-08,0,269144,269144,0,1
homedepot,2026-07-08,16878,5534,-11344,7,1
shell,2026-07-08,0,6423,6423,0,1
foremost insurance g,2026-07-09,37458,0,-37458,1,0
shell,2026-07-09,6423,0,-6423,1,0
uber,2026-07-09,15397,18524,3127,2,3
waxahachie,2026-07-10,0,91392,91392,0,1
anthropic,2026-07-13,10000,0,-10000,1,0
atmos,2026-07-14,0,3579,3579,0,1
txu,2026-07-16,0,20221,20221,0,1
apify,2026-07-18,2900,0,-2900,1,0
falcon creek lawn ca,2026-07-19,11000,47000,36000,1,1
uber,2026-07-22,0,20000,20000,0,1
community archives g,2026-07-23,0,48500,48500,0,1
atlas pools,2026-07-25,0,25601,25601,0,1
txu,2026-07-25,26176,20432,-5744,1,2
artifex software inc,2026-07-28,1750,0,-1750,1,0
txu,2026-07-29,10212,6323,-3889,1,1
atlas pools,2026-07-30,25601,0,-25601,1,0
falcon creek lawn ca,2026-07-30,0,23500,23500,0,1
waxahachie,2026-07-30,0,18750,18750,0,1
city of red oak util,2026-07-31,0,40104,40104,0,1
corelogic,2026-07-31,0,20000,20000,0,1
waxahachie,2026-07-31,0,18750,18750,0,1
anthropic,2026-08-01,9181,16321,7140,9,16
uber,2026-08-02,17601,25006,7405,2,2
walmart,2026-08-02,0,3786,3786,0,1
homedepot,2026-08-03,12681,0,-12681,2,0
nexgen seamless gutt,2026-08-03,40000,20000,-20000,2,1
txu,2026-08-03,0,16402,16402,0,1
uber,2026-08-04,0,999,999,0,1
falcon creek lawn ca,2026-08-05,5500,0,-5500,1,0
homedepot,2026-08-05,3277,0,-3277,1,0
keith ace hardware r,2026-08-05,0,2922,2922,0,1
txu,2026-08-05,45728,0,-45728,2,0
waxahachie,2026-08-05,37500,0,-37500,2,0
artifex software inc,2026-08-06,1998,999,-999,2,1
homedepot,2026-08-07,16129,122626,106497,1,2
uber,2026-08-07,7918,14516,6598,1,2
txu,2026-08-08,0,21364,21364,0,1
city of ovilla,2026-08-10,18267,0,-18267,1,0
homedepot,2026-08-10,21542,40757,19215,1,2
uber,2026-08-10,14534,25068,10534,1,2
homedepot,2026-08-11,2094,0,-2094,2,0
alaska,2026-08-13,35040,0,-35040,1,0
amazon,2026-08-13,0,3699,3699,0,1
anthropic,2026-08-13,10000,20000,10000,1,2
atmos,2026-08-13,0,3160,3160,0,1
homedepot,2026-08-13,14789,0,-14789,1,0
lowes,2026-08-13,113739,113740,1,7,2
homedepot,2026-08-14,37346,0,-37346,4,0
netlify,2026-08-14,2000,4000,2000,1,2
waxahachie,2026-08-14,0,149989,149989,0,3
alaska,2026-08-15,800,0,-800,1,0
carlos a ibarra,2026-08-15,0,50000,50000,0,1
uber,2026-08-15,11590,21412,9822,1,2
energy texas rhythm ,2026-08-17,0,48443,48443,0,1
farmers insurance,2026-08-18,0,37458,37458,0,1
homedepot,2026-08-18,118,0,-118,1,0
txu,2026-08-18,0,42728,42728,0,2
anthropic,2026-08-21,2253,2332,79,2,2
txu,2026-08-21,0,16402,16402,0,1
anthropic,2026-08-24,7104,11169,4065,7,11
amazon,2026-08-25,11358,0,-11358,1,0
rockett special util,2026-08-25,0,14472,14472,0,1
sos,2026-08-27,10000,0,-10000,1,0
falcon creek lawn ca,2026-08-30,15000,85000,70000,1,2
uber,2026-08-30,17743,12944,-4799,2,1
corelogic,2026-08-31,0,23500,23500,0,1
red oak municipal pa,2026-08-31,0,52924,52924,0,1
atlas pools,2026-09-01,51202,25601,-25601,2,1
butter amp grace,2026-09-01,0,2591,2591,0,1
homedepot,2026-09-01,6162,0,-6162,1,0
julio,2026-09-01,15000,0,-15000,1,0
julio unidentified l,2026-09-01,0,15000,15000,0,1
waxahachie,2026-09-01,10000,0,-10000,1,0
amazon,2026-09-02,12661,13706,1045,1,1
homedepot,2026-09-02,62776,60200,-2576,14,5
telnyx,2026-09-02,500,0,-500,1,0
txu,2026-09-02,0,20498,20498,0,1
adobe,2026-09-03,3449,6898,3449,1,2
energy texas rhythm ,2026-09-03,0,48443,48443,0,1
floor decor,2026-09-03,4241,0,-4241,1,0
homedepot,2026-09-03,5571,5587,16,3,1
telnyx,2026-09-03,500,1000,500,1,2
homedepot,2026-09-04,1470,0,-1470,1,0
lowes,2026-09-04,7948,54100,46152,4,2
shell,2026-09-04,0,9978,9978,0,2
lowes,2026-09-05,8651,9299,648,4,2
shell,2026-09-05,4989,0,-4989,1,0
homedepot,2026-09-06,7396,0,-7396,2,0
openai,2026-09-06,1000,2000,1000,1,2
central states water,2026-09-07,0,4845,4845,0,1
foremost insurance g,2026-09-07,37458,0,-37458,1,0
homedepot,2026-09-07,4155,0,-4155,1,0
mariana martinez,2026-09-07,0,70000,70000,0,1
rosa s cafe tortilla,2026-09-07,7219,14438,7219,1,2
fedex,2026-09-08,5000,0,-5000,1,0
hilco electric coope,2026-09-08,0,5603,5603,0,1
homedepot,2026-09-08,699,-4155,-4854,2,1
iley amp iley financ,2026-09-08,0,119600,119600,0,4
julio,2026-09-08,15000,0,-15000,1,0
julio camacho,2026-09-08,0,15000,15000,0,1
justice of the peace,2026-09-08,0,14400,14400,0,1
alaska,2026-09-09,56740,111880,55140,2,2
anthropic,2026-09-09,1069,2138,1069,1,2
fedex,2026-09-09,0,5000,5000,0,1
klarna apple upgrade,2026-09-09,0,15073,15073,0,1
uber,2026-09-09,15472,45188,29716,2,4
wi fi onboard intels,2026-09-09,0,800,800,0,1
homes com,2026-09-10,38429,0,-38429,1,0
txu,2026-09-10,11812,20498,8686,1,1
aa,2026-09-11,34140,68280,34140,1,2
rockett special util,2026-09-11,0,19474,19474,0,1
txu,2026-09-11,0,20498,20498,0,1
netlify,2026-09-13,0,2000,2000,0,2
atmos,2026-09-14,0,6739,6739,0,1
netlify,2026-09-14,2000,0,-2000,1,0
central states water,2026-09-16,0,4954,4954,0,1
homedepot,2026-09-16,0,133350,133350,0,6
