docId,date,vendor,receipt_cents,old_cents,gap_cents,items,subsets,return_items,status,old_where,resolution
gm-19d7301fafc82a83,2026-04-09,The Home Depot,11124,9512,1612,4,1,"CE standard wire connectors red 30-pk 5.42 + WAGO lever nut splicing 10-pk 9.47, 16.12",dismissed,RECAST BIZ/Tools;104 Ashburne/Supplies;104 Ashburne/Paint & Flooring,return inferred
gm-19e8f7c50d0fbad4,2026-05-29,The Home Depot,2965,473,2492,3,1,"Universal Super Flapper and Performax toilet repair kit, 21.98 less 2.64 Pro Xtr 20.94 + Titebond I Original wood glue 8 oz, incl. tax share 3.98",posted,1616 Granite RECONCILED/,hold: old rows cover less than half
gm-19fdc01a4d613ee4,2026-08-07,"Various (Paul's handwritten expense log - Julio, DL, City of Waxahachie, Home Depot, Walmart)",106497,46296,60201,10,1,"6-12 Julio - mow front yard 200.00 + 6-17 DL - mow backyard, tall grass 200.00 + 6-18 City of Waxahachie - water 200.00 + 6-28 Home Depot - item not described on log 2.01",pending,280 Sparkling RECONCILED/;280 Sparkling RECONCILED/;280 Sparkling RECONCILED/;280 Sparkling RECONCILED/;280 Sparkling RECONCILED/;280 Sparkling RECONCILED/,hold: old rows cover less than half
gm-1a0a0befad5d6040,2026-09-05,"Lowe's Home Centers, LLC",2806,1511,1295,3,1,"APOC 109 10-oz asphalt roof cement (SKU 1060920), 2 @ 5.98 = 11.96 incl. tax sha 12.95",pending,881 Newport/;469 Brushwood/,return inferred
gm-19e69ec679ab8f42,2026-05-27,The Home Depot,1399,1398,1,2,0,,dismissed,104 Ashburne/Supplies;104 Ashburne/Supplies,hold: no subset
gm-19d535a923f6b186,2026-04-03,"Lowe's Home Centers, LLC",34172,32667,1505,9,0,,posted,104 Ashburne/House Hardware;104 Ashburne/Lighting & Electrical;104 Ashburne/Lighting & Electrical;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies,hold: no subset
gm-19e8f7d48435a6ab,2026-05-30,The Home Depot,783,485,298,2,1,Smartwater 1L (non-taxable) 2.98,pending,1616 Granite RECONCILED/,return inferred
gm-19ca6987ecb649fd,2026-02-28,The Home Depot,284,248,36,1,0,,dismissed,104 Ashburne/House Hardware,hold: no subset
gm-19cb9b1055042f0e,2026-03-04,The Home Depot,3996,751,3245,2,0,,dismissed,104 Ashburne/Supplies,hold: old rows cover less than half
gm-19cb001414554a99,2026-03-02,The Home Depot,14738,6048,8690,6,0,,pending,104 Ashburne/Small Baths;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Lighting & Electrical,hold: old rows cover less than half
gm-19f1083966df0eb6,2026-06-28,The Home Depot,747,403,344,2,1,CANDY - SNICKERS 1.86oz $3.18 + $0.26 allocated sales tax 3.44,pending,280 Sparkling RECONCILED/,return inferred
gm-19e8f7ef66615f5a,2026-06-02,Tom Thumb,3187,1945,1242,2,1,"Bottled water 3.98, Fritos 1.00, deli turkey sliders 3ct 6.79 + 0.65 tax 12.42",pending,1616 Granite RECONCILED/,return inferred
gm-19badcf888c0b1cb,2026-01-11,The Home Depot,17063,15479,1584,13,0,,dismissed,RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Lighting & Electrical,hold: no subset
gm-19f41acfd298c9d7,2026-07-08,The Home Depot,8793,3081,5712,3,1,"Behr PPI 1050 flat ultra pure white interior paint 128 oz, 2 @ 32.98 = 65.96 les 57.12",dismissed,881 Newport/;881 Newport/,hold: old rows cover less than half
gm-19c6be8d0bd458c9,2026-02-17,The Home Depot,6755,2592,4163,2,0,,dismissed,RECAST BIZ/Tools;RECAST BIZ/Tools,hold: old rows cover less than half
gm-1a06da589b0fc446,2026-09-04,"Lowe's Home Centers, LLC",27050,3620,23430,6,1,"Kwikset Brentford/Sedona entry handleset (item 6823980), incl. tax share 135.31 + 2 x 1-gal Valspar porch & floor stain, light base (item 65735), incl. tax share 86.56 + Project Source swivel scrub brush (item 5462651) for porch/floor prep, incl. tax 12.43",pending,469 Brushwood/;469 Brushwood/;469 Brushwood/,hold: old rows cover less than half
gm-19c77180389ec215,2026-02-19,The Home Depot,17848,12334,5514,2,1,2 x ECS 75/90/120W BR40 6CCT 4pk dimmable LED @ 19.98 + 1 x ECS 65/75/90W BR30 6 55.14,dismissed,104 Ashburne/Paint & Flooring,return inferred
gm-19e2257005de0d6e,2026-05-13,VistaPrint,40584,14769,25815,4,1,"Metal Sign Holders for Real Estate, qty 2 (94.83 net + 7.82 tax) 102.65 + Real Estate Sign Riders, qty 2 (63.00 net + 5.20 tax) 68.20 + Real Estate Sign Riders, qty 2 (80.65 + 6.65 tax) 87.30",posted,RECAST BIZ/Marketing,hold: old rows cover less than half
gm-19c5d297b5829e55,2026-02-14,The Home Depot,35312,34308,1004,5,0,,posted,RECAST BIZ/Tools;RECAST BIZ/Tools;104 Ashburne/Supplies;104 Ashburne/Supplies,hold: no subset
gm-19d2647307183ef9,2026-03-25,The Home Depot,9859,1783,8076,2,1,"2x wax ring w/ Hydroseat 45.96, Tapcon 5/32x3-1/2 drill bit 7.98, Tapcon 3/16x1- 80.76",dismissed,104 Ashburne/Lighting & Electrical,hold: old rows cover less than half
gm-19d2c0314cc37287,2026-03-26,The Home Depot,840,582,258,2,1,Dasani water 20 oz (non-taxed) 2.58,pending,104 Ashburne/Master Bath,return inferred
gm-19d01359eb674ac2,2026-03-18,Floor and Decor,42319,37894,4425,4,1,"UColorPlus FA49 almond grout, 10 lb, 1 @ 19.94 (incl. tax share) 21.58 + Jolly-P 3/8in PVC bright white trim, 3 @ 6.98 (incl. tax share) 22.67",posted,104 Ashburne/Small Baths,return inferred
gm-19f42c17927282a4,2026-07-08,The Home Depot,5534,5019,515,3,0,,pending,881 Newport/;881 Newport/,hold: no subset
gm-19bc2775a6872115,2026-01-15,The Home Depot,24867,1468,23399,2,0,,dismissed,RECAST BIZ/Tools;104 Ashburne/Supplies,hold: old rows cover less than half
gm-19eea5d1a93a9656,2026-06-21,The Home Depot,1019,1018,1,2,0,,posted,280 Sparkling RECONCILED/;280 Sparkling RECONCILED/,hold: no subset
gm-19ccf1f38113d4f9,2026-03-08,The Home Depot,10675,8683,1992,4,1,"19/32"" x 5-1/2"" x 6' cedar dog-ear pickets, 5 @ 3.68, incl. tax 19.92",posted,104 Ashburne/Countertops & Backsplash;104 Ashburne/Master Bath;104 Ashburne/Supplies,return inferred
gm-19bae832dd56cffa,2026-01-10,The Home Depot,8341,8340,1,2,0,,posted,104 Ashburne/HVAC;104 Ashburne/Supplies,hold: no subset
gm-19ed8190a6945042,2026-06-16,The Home Depot,58945,34776,24169,21,28,,pending,RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;104 Ashburne/Small Baths;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies,hold: 28 subsets
gm-19b9ef373c8332d3,2026-01-08,The Home Depot,12277,3620,8657,3,1,"Defiant Compact HubSpace smart square video doorbell, matte black ($79.97 + tax) 86.57",pending,RECAST BIZ/Tools;104 Ashburne/Cleaning,hold: old rows cover less than half
gm-19c7bb272d77da5a,2026-02-20,The Home Depot,13507,1729,11778,2,0,,dismissed,RECAST BIZ/Tools,hold: old rows cover less than half
gm-19d1b92fe12a4c7d,2026-03-23,The Home Depot,9807,9806,1,2,0,,posted,104 Ashburne/Small Baths;104 Ashburne/Small Baths,hold: no subset
gm-19ebc1789358c9a5,2026-06-12,50Floor,133900,131900,2000,1,0,,pending,1616 Granite RECONCILED/,hold: no subset
gm-19d4a3ee589e436a,2026-04-01,The Home Depot,9358,8289,1069,5,1,"ATG MaxiFlex Ultimate gloves L, 2pk (incl. tax) 10.69",posted,104 Ashburne/House Hardware;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies,return inferred
gm-19d7d96bd9768097,2026-04-11,The Home Depot,18151,3447,14704,6,0,,posted,104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies,hold: old rows cover less than half
gm-19cf2444d6efb00f,2026-03-15,The Home Depot,31359,30606,753,13,0,,dismissed,RECAST BIZ/Tools;RECAST BIZ/Tools;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Small Baths,hold: no subset
gm-19ed818d6be0fb42,2026-06-16,The Home Depot,12666,4764,7902,2,0,,dismissed,104 Ashburne/Small Baths;104 Ashburne/Supplies,hold: old rows cover less than half
gm-19ed8195997d06ad,2026-06-17,The Home Depot,7788,5841,1947,2,0,,posted,RECAST BIZ/Tools;RECAST BIZ/Tools,hold: no subset
gm-19d4918fa3edc702,2026-04-01,The Home Depot,28109,13125,14984,3,1,"PVC quarter round 3@11.94, vinyl-clad weatherstrip 3@6.93, 48"" steel angle 24.94 149.84",dismissed,RECAST BIZ/Tools;104 Ashburne/Small Baths,hold: old rows cover less than half
gm-1a000805d296df8b,2026-08-14,The Home Depot,8726,1188,7538,3,1,Defiant Vancouver handleset MB 49.97 less 7.50 Pro Xtra Preferred Pricing = 42.4 45.97 + Defiant Hartford MB combo pack 31.97 less 4.80 Pro Xtra Preferred Pricing = 27.1 29.41,posted,366 Mesa/,hold: old rows cover less than half
gm-19d3a4c4d7090e19,2026-03-29,The Home Depot,8764,2174,6590,3,0,,error,104 Ashburne/Small Baths;104 Ashburne/Small Baths;104 Ashburne/Small Baths,hold: old rows cover less than half
gm-19f059f5de8379eb,2026-06-26,The Home Depot,14491,7507,6984,5,0,,error,136 Bowling Green/;136 Bowling Green/;136 Bowling Green/,hold: no subset
gm-19d4ed506ec83c9a,2026-04-02,The Home Depot,27124,5837,21287,4,1,"1-1/2"" flanged washer (incl. tax share) 3.52 + Universal tub drain cartridge gasket (incl. tax share) 4.31 + 3 x 40 lb Lawn Thick'R Tall Fescue seed @ 63.14 (incl. tax share) 205.04",posted,104 Ashburne/Supplies,hold: old rows cover less than half
gm-19d2556d29835a4b,2026-03-25,"Lowe's Home Centers, LLC",48680,46626,2054,7,0,,dismissed,104 Ashburne/Small Baths;104 Ashburne/Small Baths;104 Ashburne/Small Baths;104 Ashburne/Master Bath;104 Ashburne/Master Bath;104 Ashburne/Supplies,hold: no subset
gm-19d6d01dadaa68e4,2026-04-08,The Home Depot,20708,13892,6816,5,0,,posted,104 Ashburne/Paint & Flooring;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Supplies;104 Ashburne/Master Bath,hold: no subset
gm-19bcc629a4d83e4e,2026-01-17,"Lowe's Home Centers, LLC",18034,1806,16228,5,0,,posted,104 Ashburne/HVAC,hold: old rows cover less than half
gm-19ce7245dbb4ed86,2026-03-13,"Lowe's Home Centers, LLC",10914,4832,6082,4,1,"Mapei Ultracolor Plus FA grout #5222 Honey Butter (SKU 5351590), incl. tax share 6.73 + Ultracolor Plus 10 lb grout #507 (SKU 778323), incl. tax share 27.05 + Ultracolor Plus 10 lb grout #500 (SKU 1024929), incl. tax share 27.04",posted,104 Ashburne/Paint & Flooring,hold: old rows cover less than half
gm-19cc387a05beb25b,2026-03-06,The Home Depot,19960,12609,7351,3,1,"Milwaukee OMT blades: 2 @ 16.97 2-1/2"" HCS wood + 3pk 1-3/8"" Japanese hardwood 3 73.51",dismissed,104 Ashburne/Supplies;104 Ashburne/Small Baths,return inferred
gm-19d6ee18dbed6f84,2026-04-08,The Home Depot,89118,87931,1187,7,0,,pending,104 Ashburne/Landscaping,hold: no subset
gm-19f18b33a88ea898,2026-06-30,The Home Depot,19731,5631,14100,5,1,3 @ 17.98 air register 12x6 wall/ceiling white steel 3-way (incl. $4.45 tax) 58.39 + 5 @ 4.98 Alex Fast Dry white caulk 10.1 oz (incl. $2.05 tax) 26.95 + 3 @ 13.48 GE Supreme Silicone kitchen & bath clear 10.1 oz (incl. $3.34 tax) 43.78 + Husky RapidLock utility knife 10.97 (incl. $0.91 tax) 11.88,dismissed,104 Ashburne/Small Baths,hold: old rows cover less than half
gm-19bae80800798f37,2026-01-07,The Home Depot,39355,37074,2281,15,0,,posted,RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;104 Ashburne/Trash;104 Ashburne/Supplies,hold: no subset
gm-19e8f7e6652f7e3e,2026-05-31,The Home Depot,5174,1423,3751,4,1,"Behr Premium semi-transparent stain, Deco Conc Stain 855, 1 gal (SKU 67888520517 34.61 + Blue Diamond almonds, roasted salted 1.5 oz 2.68 incl. tax share 2.90",pending,1616 Granite RECONCILED/;1616 Granite RECONCILED/,hold: old rows cover less than half
gm-1a063139bc9a9a33,2026-09-02,The Home Depot,10901,10900,1,9,0,,dismissed,469 Brushwood/;469 Brushwood/;469 Brushwood/;469 Brushwood/;469 Brushwood/;469 Brushwood/;469 Brushwood/;469 Brushwood/;469 Brushwood/,hold: no subset
gm-19f0e855936a44de,2026-06-28,The Home Depot,33068,16447,16621,7,0,,dismissed,136 Bowling Green/;136 Bowling Green/;136 Bowling Green/;136 Bowling Green/;136 Bowling Green/;136 Bowling Green/,hold: old rows cover less than half
gm-1a0679d10dfb58fc,2026-09-03,The Home Depot,5587,916,4671,3,1,"Glidden MultiPro interior flat ultra-pure white, 3 @ 17.98 less 10.79 Pro Paint  46.71",posted,469 Brushwood/;469 Brushwood/,hold: old rows cover less than half
gm-19cde962bea0354f,2026-03-11,The Home Depot,4377,2921,1456,2,1,"1/2"" SB x 3/8"" OD comp angle stop 13.45 + 1.11 tax share 14.56",dismissed,RECAST BIZ/Tools,return inferred
gm-19f3f5c3cbc8f50e,2026-07-07,Falcon Creek Lawn Care,53500,11000,42500,5,3,,pending,280 Sparkling RECONCILED/;280 Sparkling RECONCILED/,hold: old rows cover less than half
gm-19c529f443b9a66e,2026-02-12,The Home Depot,15667,9100,6567,9,0,,pending,RECAST BIZ/Tools;104 Ashburne/Master Bath;104 Ashburne/Master Bath;104 Ashburne/Supplies,hold: no subset
gm-19c8bf46eab10e3a,2026-02-23,City of Ovilla,5086,4914,172,2,1,Online payment convenience fee on utility payment 1.72,posted,104 Ashburne/Utilities,return inferred
gm-19cd8db842855d26,2026-03-10,The Home Depot,8725,3382,5343,2,0,,dismissed,104 Ashburne/Supplies;104 Ashburne/Supplies,hold: old rows cover less than half
gm-19d7e6d319ca7b28,2026-04-11,Shell,2239,2172,67,1,0,,pending,RECAST BIZ/Meals,hold: no subset
gm-19c66a1cdb487a56,2026-02-16,The Home Depot,18338,17797,541,7,0,,dismissed,RECAST BIZ/Tools;104 Ashburne/Lighting & Electrical;104 Ashburne/Supplies;104 Ashburne/Supplies;RECAST BIZ/Tools;104 Ashburne/Supplies,hold: no subset
gm-19f19badba627de1,2026-06-30,The Home Depot,6125,5529,596,3,1,"Smartwater 1L x2 @ 2.98, no tax 5.96",pending,104 Ashburne/Supplies;104 Ashburne/Supplies,return inferred
gm-19cbf798cd5a28c5,2026-03-05,The Home Depot,33356,31801,1555,5,1,"1-gang white standard outlet wallplate, 10-pk (incl. tax) 4.85 + High-efficiency toilet plunger (incl. tax) - general-use tool, not consumed into 10.70",dismissed,104 Ashburne/Lighting & Electrical;104 Ashburne/Lighting & Electrical;104 Ashburne/Lighting & Electrical,return inferred
gm-19cb9e86dc1c5092,2026-03-04,The Home Depot,3996,3244,752,2,0,,pending,104 Ashburne/Trash,hold: no subset
gm-19f237650c695b39,2026-07-01,The Home Depot,11815,2856,8959,2,1,"Drywall repair panel, old-work 1G box, 8' power tool cord, 15A plug, blank wall  89.59",posted,881 Newport/,hold: old rows cover less than half
gm-19ffbab89c6e794c,2026-08-13,"Lowe's Home Centers, LLC",54240,6057,48183,2,0,,pending,366 Mesa/,hold: old rows cover less than half
gm-19c678226649aa40,2026-02-16,Harbor Freight Tools,25077,14496,10581,9,1,"Bauer D-handle SDS-Plus rotary hammer, SKU 58214 ($114.99 less $17.25 discount) 105.81",pending,RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;RECAST BIZ/Tools;104 Ashburne/Supplies;104 Ashburne/Supplies,return inferred
gm-19e8f7c1c4dffe11,2026-05-29,The Home Depot,3598,760,2838,3,1,"Rain Bird 1/2 in. emitter tubing, 18 in. spacing, 100 ft (SKU 077985038267) $26. 28.38",dismissed,1616 Granite RECONCILED/;1616 Granite RECONCILED/,hold: old rows cover less than half
gm-19edc17308bcd897,2026-06-18,The Home Depot,9636,2662,6974,6,1,"1/2"" IPS steel hinged flange plate, 6 @ 5.98 38.84 + Machine screw SS comb rnd #10 x 1-1/2 1.70 + Husky 18"" tool bag 29.20",error,104 Ashburne/Supplies;104 Ashburne/Supplies;RECAST BIZ/Tools,hold: old rows cover less than half
gm-1a07d2aab4818b57,2026-09-06,The Home Depot,11551,3241,8310,2,1,Behr Premium Semi-Transparent stain: 5105 Padre Brown 1G + 5104 Cordovan Brown 1 83.10,posted,469 Brushwood/,hold: old rows cover less than half
gm-19d3ee7e210a8af3,2026-03-30,The Home Depot,8523,1783,6740,2,1,"23 @ $1.58 5/8""x5-1/2""x6' PT pine dog-ear pickets ($36.34), 3 @ $5.98 1/2"" IPS s 67.40",dismissed,104 Ashburne/Lighting & Electrical,hold: old rows cover less than half
gm-19d2a6dc500a3a1c,2026-03-26,The Home Depot,10463,756,9707,4,1,"EVB white wood shelf 12x72 ($21.98) + HD 6ft oak closet rod ($24.98), incl. tax 50.83 + 2G white Decora wallplates 3@1.68, 3G white Decora wallplates 3@3.58, Cantex old 30.76 + 1/2"" PVC riser extender ($2.34) + 1/2"" IPS steel hinged flange plates 2@5.98, in 15.48",dismissed,104 Ashburne/Supplies,hold: old rows cover less than half
gm-19e8f79855b1df77,2026-05-29,The Home Depot,30327,1187,29140,4,1,"Landscape/irrigation materials: 6 @ 12.98 10"" black nylon anchoring stakes 77.88 262.84 + Jamestown wood elongated white toilet seat 29.98 less 3.60 Pro Xtra preferred pr 28.56",posted,1616 Granite RECONCILED/;1616 Granite RECONCILED/,hold: old rows cover less than half
gm-1a05ab0fab9330ec,2026-08-30,Falcon Creek Lawn Care,42500,15000,27500,4,1,Grass cutting x2 @ $55.00 - 881 Newport 110.00 + Grass cutting x2 @ $55.00 - 136 Bowling Green 110.00 + Grass cutting x1 @ $55.00 - 280 Sparkling Springs 55.00,pending,104 Ashburne/Landscaping,hold: old rows cover less than half
