key,tab,block,date,payee,cents,desc,match,docId,doc_date,doc_vendor,doc_total,doc_status,doc_verdict,doc_channel,doc_subject,n_cands
BIZ-174,RECAST BIZ,Gas/Truck/Trailer,2026-06-11,North Texas Tollway Authority,9257,toll tag,vendor+~amount,gm-19e8d1415d216814,2026-06-03,Uber,9498,pending,post,travel,[Personal] Your Wednesday morning trip with Uber,5
BIZ-176,RECAST BIZ,Gas/Truck/Trailer,2026-06-22,Shell,5470,Regular fuel 17.425G @ $3.139/gal,vendor+date,gm-19ed81985682b730,2026-06-17,Shell,6664,pending,post,104 Ashburne,Fwd: 104,2
BIZ-177,RECAST BIZ,Gas/Truck/Trailer,2026-06-24,O'Reilly Auto Parts,4545,VAL SYN5-20-5QT 5QT MOTOROIL,vendor+date,gm-19f00ab9125115f9,2026-06-25,Amazon,3103,pending,post,136 Bowling Green,"Fwd: Ordered: ""Amazon Basics Electronic...""",4
BIZ-178,RECAST BIZ,Gas/Truck/Trailer,2026-06-26,Shell,6940,Fuel - 18.762 gallons,vendor+date,gm-19f15c359e34964b,2026-06-29,Shell,5804,posted,post,receipts,,2
BIZ-205,RECAST BIZ,Subscriptions,2026-06-13,"Anthropic, PBC",10000,"Max plan - 5x (Jun 13–Jul 13, 2026)",amount+vendor,gm-19e8ed8492f559bc,2026-06-03,"Anthropic, PBC",2000,pending,post,receipts,"Your receipt from Anthropic, PBC #2634-9183-4841",9
BIZ-206,RECAST BIZ,Subscriptions,2026-06-13,"Anthropic, PBC",-1334,Unused time on Claude Pro after 13 Jun 2026,vendor+date,gm-19e8ed8492f559bc,2026-06-03,"Anthropic, PBC",2000,pending,post,receipts,"Your receipt from Anthropic, PBC #2634-9183-4841",1
BIZ-207,RECAST BIZ,Subscriptions,2026-06-18,CoreLogic Inc,20000,CoreLogic IVR Charge_2010-676365,amount+vendor,gm-19ea4315de57f9f1,2026-06-07,CoreLogic Inc (Cotality),20000,pending,post,receipts,cotality reciept,10
BIZ-263,RECAST BIZ,Website,,Apify,2900,Monthly Apify subscription,none,,,,,,,,,0
BIZ-283,RECAST BIZ,Interest,,420 Alyssa,66667,,none,,,,,,,,,0
PROP-21,881 Newport,,2026-07-07,Effren,30000,Landscaping,amount+vendor,gm-19f3f5c3cbc8f50e,2026-07-07,Falcon Creek Lawn Care,53500,pending,post,280 Sparkling,effren,5
PROP-22,881 Newport,,2026-06-29,Rocket Water,15000,Water,amount+vendor,gm-19f2375f3f8eeb7c,2026-06-29,Rockett Special Utility District,15000,posted,post,881 Newport,Fwd: 881,7
PROP-23,881 Newport,,2026-07-07,Effren,5500,Landscaping,amount+vendor,gm-19f3f5c3cbc8f50e,2026-07-07,Falcon Creek Lawn Care,53500,pending,post,280 Sparkling,effren,7
PROP-25,881 Newport,,2026-07-01,Home Depot,756,Drywall Panel,amount+vendor,gm-19f00c2049c512fe,2026-06-25,The Home Depot,17659,dismissed,dismiss,136 Bowling Green,,36
PROP-26,881 Newport,,2026-08-30,Rocket Water,14472,Water,amount+vendor,gm-1a0395f7d5566e0d,2026-08-25,Rockett Special Utility District,14472,pending,post,881 Newport,Fwd: Rockett Special Utility District Late Notice,2
PROP-27,881 Newport,,2026-07-01,Home Depot,377,Plug,amount+vendor,gm-19ed69af26494e70,2026-06-17,Lowe's Home Improvement,4917,dismissed,dismiss,receipts,Your Lowe's Purchase Receipt,33
PROP-29,881 Newport,,2026-07-01,Home Depot,647,Roller Trays,amount+vendor,gm-19f00c2049c512fe,2026-06-25,The Home Depot,17659,dismissed,dismiss,136 Bowling Green,,33
PROP-31,881 Newport,,2026-07-01,Home Depot,1080,Roller Covers,amount+vendor,gm-19ef4d5d26caf1e4,2026-06-23,The Home Depot,3243,dismissed,dismiss,280 Sparkling,,33
PROP-32,881 Newport,,2026-09-11,Rocket Water,19474,Water,amount+vendor,gm-1a091a295143ec7b,2026-09-11,"Rockett Special Utility District (assumed from ""rocket water"")",19474,pending,hold,881 Newport,rocket water,4
PROP-34,881 Newport,,2026-07-01,Home Depot,2556,Toilet Seat,vendor+~amount,gm-19f37c23af674543,2026-07-06,"Lowe's Home Centers, LLC",2379,dismissed,dismiss,881 Newport,,33
PROP-37,881 Newport,,2026-07-06,Juanito,50000,Garage Painting,amount+vendor,gm-19f390f745f748d4,2026-07-06,Juanito and Mariana (unidentified labor payees),100000,pending,hold,881 Newport,Juanito and Mariana,4
PROP-38,881 Newport,,2026-07-06,Mariana,50000,Cleaning,amount+vendor,gm-19f390f745f748d4,2026-07-06,Juanito and Mariana (unidentified labor payees),100000,pending,hold,881 Newport,Juanito and Mariana,4
PROP-41,881 Newport,,2026-07-08,Home Depot,5112,Towels,vendor+~amount,gm-19ed69af26494e70,2026-06-17,Lowe's Home Improvement,4917,dismissed,dismiss,receipts,Your Lowe's Purchase Receipt,22
PROP-43,881 Newport,,2026-07-08,Home Depot,2856,Paint,amount+vendor,gm-19f237650c695b39,2026-07-01,The Home Depot,11815,dismissed,dismiss,881 Newport,Fwd: 881,22
PROP-45,881 Newport,,2026-07-08,Home Depot,2856,Paint,amount+vendor,gm-19f237650c695b39,2026-07-01,The Home Depot,11815,dismissed,dismiss,881 Newport,Fwd: 881,22
PROP-46,881 Newport,,2026-07-19,Effren - 1372,11000,Landscaping,amount,gm-19f86e5bf7f12281,2026-07-19,Falcon Creek Lawn Care,47000,dismissed,dismiss,280 Sparkling,Fwd: Lawn maintenance invoice,4
PROP-47,881 Newport,,2026-08-30,Efren - 1390,11000,Landscaping,amount+vendor,gm-1a05ab0fab9330ec,2026-08-30,Falcon Creek Lawn Care,42500,pending,post,280 Sparkling,Fwd: Services for august 2026,4
PROP-52,469 Brushwood,,2026-09-01,Waxahachie Watwr,10000,Water,amount+vendor,gm-1a016b2550cd44d5,2026-08-14,City of Waxahachie - Water Billing Department,61291,pending,hold,receipts,City of Waxachie Utility Bill,20
PROP-62,469 Brushwood,,2026-09-02,Home Depot,1946,Concrete Degreaser,vendor+~amount,gm-19ff17e1bc0effd7,2026-08-11,The Home Depot,2094,dismissed,dismiss,104 Ashburne,,28
PROP-67,469 Brushwood,,2026-09-03,Home Depot,4655,Paint,vendor+date,gm-1a0670481531c3e9,2026-09-03,"Lowe's Home Centers, LLC",23900,pending,post,366 Mesa,Fwd: PO#Mesa - Thanks for Your Order! #300902246263178667,27
PROP-68,469 Brushwood,,2026-09-03,Floor & Decor,4241,Flooring Transition,vendor+~amount,gm-1a067bd438f39de3,2026-09-03,Floor and Decor,4221,dismissed,dismiss,469 Brushwood,,2
PROP-71,469 Brushwood,,2026-09-04,Lowes,4328,Garage Floor Paint,vendor+date,gm-1a06da589b0fc446,2026-09-04,"Lowe's Home Centers, LLC",27050,pending,post,receipts,Your Lowe's Purchase Receipt,2
PROP-78,469 Brushwood,,2026-09-07,Mariana,25000,Cleaning,vendor+date,gm-1a07ec26660d7659,2026-09-07,Mariana Martinez,70000,pending,hold,469 Brushwood,Mariana,1
PROP-79,469 Brushwood,,2026-09-06,Joe Iley,29900,Listing Fee,amount+vendor,gm-1a080c871b33bb67,2026-09-08,Iley &amp; Iley Financial-Mission Real Estate Group,29900,pending,hold,469 Brushwood,Listing Fee,5
PROP-84,366 Mesa,,2026-08-15,Carlos,50000,Siding Supplies,amount+vendor,gm-1a007f1fdf7903ee,2026-08-15,Carlos A Ibarra,50000,pending,post,366 Mesa,Fwd: Notification - Your $500.00 to Carlos A Ibarra was sent,2
PROP-85,366 Mesa,,2026-08-19,HILCO,20000,Electricity,amount+vendor,gm-1a016b98c4cb1ee6,2026-08-18,HILCO Electric Cooperative,20000,dismissed,dismiss,366 Mesa,Fwd: Payment Confirmation,10
PROP-86,366 Mesa,,2026-08-19,Carlos,50000,Siding Insatll,amount+vendor,gm-1a007f1fdf7903ee,2026-08-15,Carlos A Ibarra,50000,pending,post,366 Mesa,Fwd: Notification - Your $500.00 to Carlos A Ibarra was sent,2
PROP-87,366 Mesa,,2026-08-19,Carlos,50000,Siding Insatll,amount+vendor,gm-1a007f1fdf7903ee,2026-08-15,Carlos A Ibarra,50000,pending,post,366 Mesa,Fwd: Notification - Your $500.00 to Carlos A Ibarra was sent,2
PROP-88,366 Mesa,,2026-08-19,Carlos,50000,Siding Insatll,amount+vendor,gm-1a007f1fdf7903ee,2026-08-15,Carlos A Ibarra,50000,pending,post,366 Mesa,Fwd: Notification - Your $500.00 to Carlos A Ibarra was sent,2
PROP-89,366 Mesa,,2026-08-20,Carlos,50000,Siding Insatll,amount+vendor,gm-1a007f1fdf7903ee,2026-08-15,Carlos A Ibarra,50000,pending,post,366 Mesa,Fwd: Notification - Your $500.00 to Carlos A Ibarra was sent,2
PROP-90,366 Mesa,,2026-08-28,Carlos -  Check 1146,150000,Siding Insatll,none,,,,,,,,,0
PROP-91,366 Mesa,,2026-08-28,Juanito -  Check 1147,200000,Painting,none,,,,,,,,,0
PROP-92,366 Mesa,,2026-08-26,James Haroce,150000,Siding ,none,,,,,,,,,0
PROP-93,366 Mesa,,2026-08-18,Carlos,22000,Soffit,vendor+date,gm-1a007f1fdf7903ee,2026-08-15,Carlos A Ibarra,50000,pending,post,366 Mesa,Fwd: Notification - Your $500.00 to Carlos A Ibarra was sent,1
PROP-94,366 Mesa,,2026-08-18,Home Depot,118,Pipe coupling,vendor+date,gm-1a0244d540acaf53,2026-08-21,American Airlines,54140,pending,post,travel,Your trip confirmation (PDX - DFW),11
PROP-95,366 Mesa,,2026-09-02,Home Depot,2072,?,vendor+~amount,gm-19ff17e1bc0effd7,2026-08-11,The Home Depot,2094,dismissed,dismiss,104 Ashburne,,28
PROP-96,366 Mesa,,2026-08-03,Home Depot,1966,?,vendor+~amount,gm-19ff17e1bc0effd7,2026-08-11,The Home Depot,2094,dismissed,dismiss,104 Ashburne,,13
PROP-107,366 Mesa,,2026-08-14,Home Depot,6961,Door Lock Sets,vendor+date,gm-1a000805d296df8b,2026-08-14,The Home Depot,8726,dismissed,dismiss,366 Mesa,,16
PROP-113,136 Bowling Green,,2026-06-25,Home Depot,3328,9V Batteries,vendor+~amount,gm-19ef4d5d26caf1e4,2026-06-23,The Home Depot,3243,dismissed,dismiss,280 Sparkling,,34
PROP-115,136 Bowling Green,,2026-06-27,City of Red Oak,11615,Water,amount+vendor,gm-19ed16988e311cba,2026-06-16,City of Red Oak - Utility Billing,11615,dismissed,dismiss,136 Bowling Green,Water bill,4
PROP-119,136 Bowling Green,,2026-08-18,City of Red Oak,44747,Water,amount,gm-1a0161453c5660f8,2026-08-18,Red Oak Municipal Payments - Utility Billing,44747,dismissed,dismiss,136 Bowling Green,Fwd: Payment confirmation,6
PROP-120,136 Bowling Green,,2026-06-26,Home Depot,804,Toilet Paper,vendor+~amount,gm-19f0e8b993f57cd0,2026-06-28,The Home Depot,635,posted,post,136 Bowling Green,,35
PROP-121,136 Bowling Green,,2026-06-26,Home Depot,1438,Drywall Tape,vendor+~amount,gm-19ef1303ff9ed1ad,2026-06-22,The Home Depot,1254,dismissed,dismiss,280 Sparkling,,35
PROP-123,136 Bowling Green,,2026-06-26,Home Depot,1622,Pole Sander,amount+vendor,gm-19f41acfd298c9d7,2026-07-08,The Home Depot,8793,dismissed,dismiss,881 Newport,,35
PROP-124,136 Bowling Green,,2026-06-26,Home Depot,1297,Taping Knife,amount+vendor,gm-19ed818d6be0fb42,2026-06-16,The Home Depot,12666,dismissed,dismiss,104 Ashburne,Fwd: 104,35
PROP-128,136 Bowling Green,,2026-06-26,Home Depot,4321,Front Door Handle,vendor+~amount,gm-19f093595e1ff13a,2026-06-27,The Home Depot,4326,dismissed,dismiss,136 Bowling Green,,38
PROP-137,136 Bowling Green,,2026-06-30,Ace Hardware,324,Door Stop,amount+vendor,gm-19f1a71858c0d365,2026-06-30,Keith Ace Hardware - Red Oak,7032,error,post,136 Bowling Green,,2
PROP-138,136 Bowling Green,,2026-06-30,Ace Hardware,432,Toilet Roll Bar,amount+vendor,gm-19f1a71858c0d365,2026-06-30,Keith Ace Hardware - Red Oak,7032,error,post,136 Bowling Green,,2
PROP-139,136 Bowling Green,,2026-06-30,Ace Hardware,6276,Weed & Feed,amount+vendor,gm-19f1a71858c0d365,2026-06-30,Keith Ace Hardware - Red Oak,7032,error,post,136 Bowling Green,,2
PROP-140,136 Bowling Green,,2026-06-02,Ace Hardware,5736,Door Locks,amount+vendor,gm-19f3f696a2755181,2026-06-02,Keith Ace Hardware - Red Oak,5736,posted,post,136 Bowling Green,,1
PROP-141,136 Bowling Green,,2026-06-28,Ace Hardware,1081,Paint Roller,amount+vendor,gm-19f0ee822c4aa5ef,2026-06-28,Keith Ace Hardware - Red Oak,1081,error,post,136 Bowling Green,,4
PROP-142,136 Bowling Green,,2026-06-28,Hunter,12217,Fan Remotes,amount+vendor,gm-19f0f64b937a63fa,2026-06-28,Hunter Fan,12217,posted,post,136 Bowling Green,Fwd: Order 452616 confirmed,1
PROP-143,136 Bowling Green,,2026-06-28,Lowes,12984,Garage Floor Paint,none,,,,,,,,,0
PROP-146,136 Bowling Green,,2026-06-29,Mariana,50000,Cleaning,amount+vendor,gm-19f138efc8a67a8f,2026-06-29,Mariana (cleaner),50000,pending,post,136 Bowling Green,Mariana,3
PROP-147,136 Bowling Green,,2026-07-01,City of Corsicana,2580,Dump,amount+vendor,gm-19f3f6a3d8a8000d,2026-07-01,City of Corsicana - Landfill,2580,posted,post,136 Bowling Green,,4
PROP-148,136 Bowling Green,,2026-06-30,Lupe,16000,Carpet Laying,amount,gm-19f3f6d3919a5816,2026-06-30,"Handwritten payment log - 136 Bowling Green (payees: unnamed carpet installer; ""FALCON"")",47500,pending,hold,136 Bowling Green,,3
PROP-149,136 Bowling Green,,2026-07-07,Effren - 1372,5500,Landscaping,amount+vendor,gm-19f3f5c3cbc8f50e,2026-07-07,Falcon Creek Lawn Care,53500,pending,post,280 Sparkling,effren,7
PROP-150,136 Bowling Green,,2026-06-29,Lowe's,43121,Carpet ,vendor+date,gm-19f154ce61fa47c1,2026-06-29,"Lowe's Home Centers, LLC",3786,dismissed,dismiss,1616 Granite,,6
PROP-151,136 Bowling Green,,2026-07-19,Effren - 1373,11000,Landscaping,amount+vendor,gm-19f86e5bf7f12281,2026-07-19,Falcon Creek Lawn Care,47000,dismissed,dismiss,280 Sparkling,Fwd: Lawn maintenance invoice,4
PROP-153,136 Bowling Green,,2026-08-05,Ace Hardware,2299,Padlock,vendor+date,gm-19fd4002e0935c03,2026-08-05,Keith Ace Hardware - Red Oak,2922,posted,post,136 Bowling Green,,3
PROP-154,136 Bowling Green,,2026-08-06,McCoy's,4556,Trim,vendor+~amount,gm-19fd7f3f3ed0e605,2026-08-06,McCoy's Building Supply,4456,dismissed,dismiss,136 Bowling Green,,1
PROP-155,136 Bowling Green,,2026-08-06,Ace Hardware,713,Caulk,amount+vendor,gm-19fd84c06f959785,2026-08-06,Keith Ace Hardware - Red Oak,713,dismissed,dismiss,136 Bowling Green,,3
PROP-156,136 Bowling Green,,2026-08-03,The Home Depot,10715,HWTSTAT - Honeywell T5 7-Day 2-Stage Programmable Thermostat,vendor+~amount,gm-1a063139bc9a9a33,2026-09-02,The Home Depot,10901,dismissed,dismiss,469 Brushwood,,14
PROP-157,104 Ashburne,Paint & Flooring,2026-01-12,Juan Garcia,700000,Drywall/Supplies/Painting,vendor+date,gm-19bc4405fa0bc7e5,2026-01-15,Juan Gonzalez,100000,pending,post,104 Ashburne,,1
PROP-160,104 Ashburne,Master Bath,2026-02-10,Floor & Decor,75006,Shower Tile,amount+vendor,gm-19c47f0f4b6b4731,2026-02-10,Floor and Decor,75006,pending,post,104 Ashburne,Tile,8
PROP-162,104 Ashburne,Pool,2026-01-05,Julio,20000,Clean out,amount,gm-19b944ec9eb500c7,2025-12-31,"CoreLogic Solutions, LLC",20000,pending,post,receipts,Property Intelligence Invoice #30831839,2
PROP-163,104 Ashburne,Landscaping,2026-01-12,Julio,20000,Labor,amount,gm-19b944ec9eb500c7,2025-12-31,"CoreLogic Solutions, LLC",20000,pending,post,receipts,Property Intelligence Invoice #30831839,2
PROP-167,104 Ashburne,HVAC,2026-01-14,eBay,37847,Control Unit,amount+vendor,gm-19c01a73986c43df,2026-01-14,eBay (seller zmfc86),37847,dismissed,dismiss,104 Ashburne,Fwd: Order confirmed: Brand New Ion System Control SYST0101C,1
PROP-169,104 Ashburne,Countertops & Backsplash,2026-02-20,Shalom Granite,355800,Counters ,amount+vendor,gm-19cc51b6b845dd1f,2026-02-19,Shalom Granite,850800,pending,post,104 Ashburne,,1
PROP-170,104 Ashburne,Equipment Rentals,2026-05-05,Sunstate,90418,Lift,amount+vendor,gm-19f0781872fdb552,2026-05-05,Sunstate Equipment,90418,pending,post,104 Ashburne,Fwd: Sunstate Invoice: 14354633-001,2
PROP-171,104 Ashburne,Pest Control,2026-01-14,Berret Pest Control,27063,Pest Control,vendor+date,gm-19c01a73986c43df,2026-01-14,eBay (seller zmfc86),37847,dismissed,dismiss,104 Ashburne,Fwd: Order confirmed: Brand New Ion System Control SYST0101C,1
PROP-177,104 Ashburne,Marketing,2026-04-24,Aces Photography,62800,Photos,amount+vendor,gm-19dc05be6c2af277,2026-04-24,Aces Real Estate Media,62800,pending,post,104 Ashburne,aces,1
PROP-178,104 Ashburne,Paint & Flooring,2026-01-23,Juan Garcia,700000,Paint & Floor Installation,vendor+date,gm-19bc4405fa0bc7e5,2026-01-15,Juan Gonzalez,100000,pending,post,104 Ashburne,,1
PROP-181,104 Ashburne,Master Bath,2026-02-08,Wayfair,81618,Tub & Faucet,none,,,,,,,,,0
PROP-183,104 Ashburne,Pool,2026-02-12,Atlas Pools,200000,Deposit,amount+vendor,gm-19cab7819599377d,2026-03-01,Micky Atlas Pools,200000,pending,post,104 Ashburne,,3
PROP-184,104 Ashburne,Landscaping,2026-01-13,Julio,20000,Labor,amount,gm-19b944ec9eb500c7,2025-12-31,"CoreLogic Solutions, LLC",20000,pending,post,receipts,Property Intelligence Invoice #30831839,2
PROP-190,104 Ashburne,Countertops & Backsplash,2026-03-06,Shalom Granite,495000,Counters ,amount+vendor,gm-19cc51b6b845dd1f,2026-02-19,Shalom Granite,850800,pending,post,104 Ashburne,,1
PROP-192,104 Ashburne,Utilities,2026-01-13,Energy Texas,4357,Electricity,vendor+date,gm-19bbebe1e4fc35df,2026-01-13,Atmos Energy,5765,pending,hold,receipts,Your Atmos Energy Bill is Available online,1
PROP-193,104 Ashburne,Cleaning,2026-04-16,Window Man,85868,WIndow Cleaning,vendor+~amount,gm-19d98540dce2874d,2026-04-16,Window Man Window Cleaning,84868,pending,post,104 Ashburne,,3
PROP-194,104 Ashburne,Supplies,2026-01-10,Home Depot,474,Batteries,vendor+~amount,gm-19bc1e5948839629,2026-01-15,The Home Depot,647,dismissed,dismiss,104 Ashburne,,23
PROP-196,104 Ashburne,Marketing,2026-05-08,Vista Print,40604,SIgnage,amount+vendor,gm-19e0966e7b7f7240,2026-05-08,VistaPrint,40604,pending,hold,104 Ashburne,Fwd: Your order is confirmed,5
PROP-197,104 Ashburne,Paint & Flooring,2026-02-09,Juan Garcia,700000,Paint & Floor Installation,none,,,,,,,,,0
PROP-200,104 Ashburne,Master Bath,0126-02-11,Amazon,32474,Shower Glass,none,,,,,,,,,0
PROP-203,104 Ashburne,Landscaping,2026-01-14,Julio,20000,Labor,amount,gm-19b944ec9eb500c7,2025-12-31,"CoreLogic Solutions, LLC",20000,pending,post,receipts,Property Intelligence Invoice #30831839,3
PROP-206,104 Ashburne,Appliances,2026-04-10,Luxury 4 Less Appliance,1031956,Appliaces,amount+vendor,gm-19d985398a604372,2026-04-16,Luxury 4 Less Appliances,17500,pending,post,104 Ashburne,Fwd: Payment confirmation: Invoice #3158-(Luxury 4 Less Appl,4
PROP-209,104 Ashburne,Countertops & Backsplash,2026-03-07,Floor & Decor,24839,Backsplash TIle,vendor+date,gm-19cc98e8a2850d78,2026-03-07,The Tile Shop,37367,posted,post,104 Ashburne,,4
PROP-211,104 Ashburne,Utilities,2026-03-08,Atmos Energy,64260,Natural Gas,amount+vendor,gm-19ce9537b630b426,2026-03-12,Atmos Energy,14159,pending,hold,receipts,Your Atmos Energy Bill is Available online,6
PROP-212,104 Ashburne,Cleaning,2026-01-14,Marianna,50000,Cleaning,none,,,,,,,,,0
PROP-215,104 Ashburne,Paint & Flooring,2026-02-10,Chinos LLC,1350000,Flooring,vendor+date,gm-19c521cfa5452bd9,2026-02-12,,0,pending,hold,104 Ashburne,Flooring,1
PROP-216,104 Ashburne,Trash,2026-01-09,Julio,20000,Labor,amount,gm-19b944ec9eb500c7,2025-12-31,"CoreLogic Solutions, LLC",20000,pending,post,receipts,Property Intelligence Invoice #30831839,2
PROP-219,104 Ashburne,Small Baths,2026-02-19,Ideal Resurfacing,40000,Tub REsurface,amount+vendor,gm-19c7351495140b60,2026-02-19,Ideal Resurfacing and Flooring,40000,posted,post,104 Ashburne,,10
PROP-221,104 Ashburne,Landscaping,2026-01-15,Julio,20000,Labor,amount,gm-19b944ec9eb500c7,2025-12-31,"CoreLogic Solutions, LLC",20000,pending,post,receipts,Property Intelligence Invoice #30831839,3
PROP-222,104 Ashburne,Chimney/FIreplace/Glass,2026-04-21,Sunstate Ren tals,92226,Lift Rental,amount+vendor,gm-19f0781872fdb552,2026-05-05,Sunstate Equipment,90418,pending,post,104 Ashburne,Fwd: Sunstate Invoice: 14354633-001,15
PROP-225,104 Ashburne,House Hardware,2026-02-09,Amazon,24997,Drawer pulls,vendor+date,gm-19c51f2daddbeabd,2026-02-09,Amazon,9079,posted,post,104 Ashburne,"Fwd: Ordered: ""Freestanding Tub Drain..."" and 1 more item",4
PROP-227,104 Ashburne,Insurance - Farmers Insurance,2026-04-09,Foremost Insurance Group,37458,April,amount+vendor,gm-19d22c0ca88727d6,2026-03-22,Farmers Insurance,37458,pending,post,104 Ashburne,Fwd: Your Farmers Insurance bill is ready to be viewed.,3
PROP-228,104 Ashburne,Utilities,2026-01-30,HOA,25909,Ashburne Glen Homeowners Association,amount,gm-19c0fc92279d93d1,2026-01-30,Ashburne Glen Homeowners Association,25909,dismissed,dismiss,104 Ashburne,Fwd: Online payment received,1
PROP-229,104 Ashburne,Cleaning,2026-09-07,Marianna,45000,Cleaning,none,,,,,,,,,0
PROP-232,104 Ashburne,Paint & Flooring,2026-02-20,Juan Garcia,700000,Paint & Floor Installation,none,,,,,,,,,0
PROP-233,104 Ashburne,Trash,2026-01-16,Julio,20000,Labor,amount,gm-19c2d8b7905f7407,2026-01-31,"CoreLogic Solutions, LLC",20000,pending,hold,receipts,Property Intelligence Invoice #30837466,3
PROP-242,104 Ashburne,Countertops & Backsplash,2026-04-03,Seconds & Surplus,70142,Bath Vanities,amount+vendor,gm-19d5549008d4307d,2026-04-03,Seconds &amp; Surplus,70142,pending,post,104 Ashburne,,2
PROP-243,104 Ashburne,Insurance - Farmers Insurance,2026-05-09,Foremost Insurance Group,37458,May,amount+vendor,gm-19f043eebcbd0976,2026-06-19,Farmers Insurance,37458,pending,post,104 Ashburne,Fwd: Your Farmers Insurance bill is ready to be viewed.,2
PROP-246,104 Ashburne,Gas/Truck/Trailer,2026-02-01,Jiffy Lube,7351,Oil Chnege,amount+vendor,gm-19c1afb84540f732,2026-02-01,"Jiffy Lube #3752 (Premium Velocity Auto, LLC)",7351,dismissed,dismiss,104 Ashburne,,2
PROP-252,104 Ashburne,Pool,2026-03-29,Atlas Pools,217700,Payment,vendor+~amount,gm-19d46e442dd379c4,2026-03-31,Atlas Pools,212000,dismissed,dismiss,104 Ashburne,Fwd: Atlas Pools Payment Confirmation - Invoice 16542,6
PROP-257,104 Ashburne,Countertops & Backsplash,2026-04-11,Seconds & Surplus,43298,Butcher Vlock,amount+vendor,gm-19d7ec4e31eef94b,2026-04-11,Seconds &amp; Surplus,43298,dismissed,dismiss,104 Ashburne,,2
PROP-258,104 Ashburne,Insurance - Farmers Insurance,2026-06-09,Foremost Insurance Group,37458,June,amount+vendor,gm-19f043eebcbd0976,2026-06-19,Farmers Insurance,37458,pending,post,104 Ashburne,Fwd: Your Farmers Insurance bill is ready to be viewed.,3
PROP-261,104 Ashburne,Gas/Truck/Trailer,2026-01-21,Harbor Freight,1699,Trailer Light,amount+vendor,gm-19c15ffa4a0176b8,2026-01-31,Harbor Freight,1699,pending,post,104 Ashburne,,2
PROP-263,104 Ashburne,Trash,2026-01-06,Julio,20000,Labor,amount,gm-19b944ec9eb500c7,2025-12-31,"CoreLogic Solutions, LLC",20000,pending,post,receipts,Property Intelligence Invoice #30831839,2
PROP-268,104 Ashburne,Landscaping,2026-02-12,Julio,10000,Labor,amount,gm-19cc51b6b845dd1f,2026-02-19,Shalom Granite,850800,pending,post,104 Ashburne,,2
PROP-270,104 Ashburne,HVAC,2026-01-24,Robinson Air,60670,HVAC,amount+vendor,gm-19c23984521412b9,2026-01-24,"Robinson Air &amp; Electric, Inc.",60670,pending,post,104 Ashburne,,1
PROP-273,104 Ashburne,Utilities,2026-03-27,Atmos Energy,14159,Natural Gas,amount+vendor,gm-19ce9537b630b426,2026-03-12,Atmos Energy,14159,pending,hold,receipts,Your Atmos Energy Bill is Available online,5
