key,tab,block,sheet_row,date,payee,desc,cents,flags,correction,match,docId,doc_vendor,doc_date,doc_total,doc_status,doc_paid_from,read_account,read_property,doc_url,gmail_url,rows_on_doc,doc_gap_cents
BIZ-10,RECAST BIZ,Tools,,2026-01-07,Home Depot,Bin/Tote,2163,[],,strong,gm-19bae80800798f37,The Home Depot,2026-01-07,39355,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1ZVDEqXlk7twrRuzyK-JsTl3VhzsqLH7I/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bae80800798f37,13,2281
BIZ-11,RECAST BIZ,Tools,,2026-01-08,Home Depot,J Hook Straps,2377,[],,strong,gm-19b9ef373c8332d3,The Home Depot,2026-01-08,12277,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19b9ef373c8332d3,2,8657
BIZ-12,RECAST BIZ,Tools,,2026-01-11,Home Depot,Drill Bit,1404,[],,strong,gm-19badcf888c0b1cb,The Home Depot,2026-01-11,17063,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/18kwSM9i62HT2pKEvr0gnuCMlvVbSj008/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19badcf888c0b1cb,11,1584
BIZ-13,RECAST BIZ,Tools,,2026-01-11,Home Depot,Flush Saw,2378,[],,strong,gm-19badcf888c0b1cb,The Home Depot,2026-01-11,17063,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/18kwSM9i62HT2pKEvr0gnuCMlvVbSj008/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19badcf888c0b1cb,11,1584
BIZ-14,RECAST BIZ,Tools,,2026-01-11,Home Depot,Drill Bit,1404,[],,strong,gm-19badcf888c0b1cb,The Home Depot,2026-01-11,17063,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/18kwSM9i62HT2pKEvr0gnuCMlvVbSj008/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19badcf888c0b1cb,11,1584
BIZ-15,RECAST BIZ,Tools,,2026-01-11,Home Depot,Bin/Tote,3137,[],,strong,gm-19badcf888c0b1cb,The Home Depot,2026-01-11,17063,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/18kwSM9i62HT2pKEvr0gnuCMlvVbSj008/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19badcf888c0b1cb,11,1584
BIZ-16,RECAST BIZ,Tools,,2026-01-11,Amazon,GRK bits,515,[],,strong,gm-19c01b7410af7c7f,Amazon,2026-01-11,515,posted,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19c01b7410af7c7f,1,0
BIZ-17,RECAST BIZ,Tools,,2026-01-14,Home Depot,Allen Wrenches,1079,[],,strong,gm-19bbd41a87b2b698,The Home Depot,2026-01-14,2025,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19bbd41a87b2b698,2,0
BIZ-18,RECAST BIZ,Tools,,2026-01-14,Home Depot,Drywall Saw,1296,[],,strong,gm-19bbe38eb7de0851,The Home Depot,2026-01-14,1296,dismissed,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1DKVgGuAINmJq1a8PIO6g8kf9HDgink_z/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bbe38eb7de0851,1,0
BIZ-19,RECAST BIZ,Tools,,2026-01-15,Home Depot,Milwaulkie Drill,21542,[],,strong,gm-19bc2ac9659bedac,The Home Depot,2026-01-15,24867,posted,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1nphP8iGvvw2ts4HMcQe1-QtT1B9z3VKk/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bc2ac9659bedac,2,2462
BIZ-20,RECAST BIZ,Tools,,2026-01-15,Home Depot,Forsner Bit,863,[],,strong,gm-19bc2ac9659bedac,The Home Depot,2026-01-15,24867,posted,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1nphP8iGvvw2ts4HMcQe1-QtT1B9z3VKk/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bc2ac9659bedac,2,2462
BIZ-21,RECAST BIZ,Tools,,2026-01-15,Home Depot,Mag Bit,734,[],,strong,gm-19bc2775a6872115,The Home Depot,2026-01-15,24867,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1acVtswFO50RlOSwOYQKl42vmBcozM4os/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bc2775a6872115,2,23399
BIZ-22,RECAST BIZ,Tools,,2026-01-20,Amazon,Space Heaters,16998,[],,weak,gm-19c01b85d135afa6,Amazon,2026-01-20,27622,posted,PAUL,1040,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19c01b85d135afa6,0,
BIZ-23,RECAST BIZ,Tools,,2026-02-10,Home Depot,1/2 wire pipe brush,484,[],,strong,gm-19c488e7c2b56593,The Home Depot,2026-02-10,20087,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1DKM42Kn2v0aYUyOxH7gYQM0cCdCY4j_C/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c488e7c2b56593,7,0
BIZ-24,RECAST BIZ,Tools,,2026-02-10,Home Depot,1/2 pipe cutter,1729,[],,strong,gm-19c488e7c2b56593,The Home Depot,2026-02-10,20087,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1DKM42Kn2v0aYUyOxH7gYQM0cCdCY4j_C/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c488e7c2b56593,7,0
BIZ-25,RECAST BIZ,Tools,,2026-02-10,Home Depot,Bin/tote,3137,[],,strong,gm-19c488e7c2b56593,The Home Depot,2026-02-10,20087,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1DKM42Kn2v0aYUyOxH7gYQM0cCdCY4j_C/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c488e7c2b56593,7,0
BIZ-26,RECAST BIZ,Tools,,2026-02-10,Lowes,Tape Measure,2596,[],,strong,gm-19cf79150281a75a,"Lowe's Home Centers, LLC",2026-03-16,46573,posted,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1a0DTuwV1XP-1DnlEIGKsY6gJ2GtCfNFI/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19cf79150281a75a,8,0
BIZ-27,RECAST BIZ,Tools,,2026-02-12,Home Depot,Shovel,2488,[],,strong,gm-19c529f443b9a66e,The Home Depot,2026-02-12,15667,pending,PAUL,6510,OVERHEAD,,https://mail.google.com/mail/u/0/#all/19c529f443b9a66e,4,6567
BIZ-28,RECAST BIZ,Tools,,2026-02-13,Home Depot,Miter Saw Stand,13964,[],,strong,gm-19c576d1036e4a39,The Home Depot,2026-02-13,14341,posted,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1deGUzi8y68f1aSrD8FP3YYWyuViEaNoI/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c576d1036e4a39,2,0
BIZ-29,RECAST BIZ,Tools,,2026-02-14,Home Depot,Saw,24789,[],,strong,gm-19c5d297b5829e55,The Home Depot,2026-02-14,35312,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1d7L_wzfiuV5TXD1bFSEh-si0uuSZ46y2/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c5d297b5829e55,4,1004
BIZ-30,RECAST BIZ,Tools,,2026-02-14,Home Depot,Ram Set Driver,4110,[],,strong,gm-19c5d297b5829e55,The Home Depot,2026-02-14,35312,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1d7L_wzfiuV5TXD1bFSEh-si0uuSZ46y2/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c5d297b5829e55,4,1004
BIZ-31,RECAST BIZ,Tools,,2026-02-15,Home Depot,Saw Blade,1188,[],,strong,gm-19c66a1cdb487a56,The Home Depot,2026-02-16,18338,dismissed,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1LWOHxyo0yarxeZRyUfHTkNcRJF-6NklW/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c66a1cdb487a56,6,541
BIZ-32,RECAST BIZ,Tools,,2026-02-16,Home Depot,Saw Horses,5951,[],,strong,gm-19c66a1cdb487a56,The Home Depot,2026-02-16,18338,dismissed,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1LWOHxyo0yarxeZRyUfHTkNcRJF-6NklW/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c66a1cdb487a56,6,541
BIZ-33,RECAST BIZ,Tools,,2026-02-16,Home Depot,Scrapers,2375,[],,strong,gm-19caba0d41d86d9b,The Home Depot,2026-03-01,20719,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19caba0d41d86d9b,8,0
BIZ-34,RECAST BIZ,Tools,,2026-02-16,Harbor Freight,Masonary Drill Bits,1081,[],,strong,gm-19c678226649aa40,Harbor Freight Tools,2026-02-16,25077,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19c678226649aa40,7,10581
BIZ-35,RECAST BIZ,Tools,,2026-02-16,Harbor Freight,Wire Strippers,2164,[],,strong,gm-19c678226649aa40,Harbor Freight Tools,2026-02-16,25077,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19c678226649aa40,7,10581
BIZ-36,RECAST BIZ,Tools,,2026-02-16,Harbor Freight,Roto Hammer Bits,3462,[],,strong,gm-19c678226649aa40,Harbor Freight Tools,2026-02-16,25077,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19c678226649aa40,7,10581
BIZ-37,RECAST BIZ,Tools,,2026-02-16,Harbor Freight,Roto Hammer Drill,12448,[],,weak,gm-19c678226649aa40,Harbor Freight Tools,2026-02-16,25077,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19c678226649aa40,7,
BIZ-38,RECAST BIZ,Tools,,2026-02-16,Harbor Freight,Stapler,4329,[],,strong,gm-19c678226649aa40,Harbor Freight Tools,2026-02-16,25077,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19c678226649aa40,7,10581
BIZ-39,RECAST BIZ,Tools,,2026-02-16,Harbor Freight,Extension Cord,2705,[],,strong,gm-19c678226649aa40,Harbor Freight Tools,2026-02-16,25077,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19c678226649aa40,7,10581
BIZ-40,RECAST BIZ,Tools,,2026-02-17,Home Depot,Shark Bite Tool,265,[],,strong,gm-19caba0d41d86d9b,The Home Depot,2026-03-01,20719,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19caba0d41d86d9b,8,0
BIZ-41,RECAST BIZ,Tools,,2026-02-17,Home Depot,Tub Drain Wrench,1296,[],,strong,gm-19c6be8d0bd458c9,The Home Depot,2026-02-17,6755,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1ABT-SXtJzBn3B68By2GfyyIEM0lf-6IY/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c6be8d0bd458c9,2,4163
BIZ-42,RECAST BIZ,Tools,,2026-02-18,Home Depot,Speed Square,1946,[],,strong,gm-19c7092d542413e0,The Home Depot,2026-02-18,6956,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1ZaeV34-njGwfksiujmaF7ZrC-ABFg6bA/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c7092d542413e0,5,0
BIZ-43,RECAST BIZ,Tools,,2026-02-18,Home Depot,Adjustable Square,1296,[],,strong,gm-19c6be8d0bd458c9,The Home Depot,2026-02-17,6755,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1ABT-SXtJzBn3B68By2GfyyIEM0lf-6IY/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c6be8d0bd458c9,2,4163
BIZ-44,RECAST BIZ,Tools,,2026-02-19,Home Depot,Bin/Tote,3137,[],,strong,gm-19c768d3b6197026,The Home Depot,2026-02-19,39012,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1981pmNyhpzmog5-cgUGTTb3rjMxSE14Q/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c768d3b6197026,9,-454
BIZ-45,RECAST BIZ,Tools,,2026-02-19,Home Depot,Utiliy Knives,2378,[],,strong,gm-19c768d3b6197026,The Home Depot,2026-02-19,39012,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1981pmNyhpzmog5-cgUGTTb3rjMxSE14Q/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c768d3b6197026,9,-454
BIZ-46,RECAST BIZ,Tools,,2026-02-20,Home Depot,Pipe cutter,1729,[],,strong,gm-19c7bb272d77da5a,The Home Depot,2026-02-20,13507,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/10cINuDYio3iwttUc8IRW1OR-px6sXc6V/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19c7bb272d77da5a,1,11778
BIZ-47,RECAST BIZ,Tools,,2026-03-02,Home Depot,Hole Punches,2270,[],,strong,gm-19caf33c58069d0d,The Home Depot,2026-03-02,21969,pending,PAUL,6510,OVERHEAD,,https://mail.google.com/mail/u/0/#all/19caf33c58069d0d,2,0
BIZ-48,RECAST BIZ,Tools,,2026-03-02,Home Depot,Sunp Pump & Hose,19699,[],,strong,gm-19caf33c58069d0d,The Home Depot,2026-03-02,21969,pending,PAUL,6510,OVERHEAD,,https://mail.google.com/mail/u/0/#all/19caf33c58069d0d,2,0
BIZ-49,RECAST BIZ,Tools,,2026-03-11,Home Depot,Tool Bag,2921,[],,strong,gm-19cde962bea0354f,The Home Depot,2026-03-11,4377,dismissed,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1gZA5gdGfSyjnCAn3lTYWXoJzuRYOiYSk/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19cde962bea0354f,1,1456
BIZ-50,RECAST BIZ,Tools,,2026-03-12,Home Depot,Finish Nailer & Charger,62569,[],,strong,gm-19ce39f32dd9c9c0,The Home Depot,2026-03-12,67329,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19ce39f32dd9c9c0,2,-1
BIZ-51,RECAST BIZ,Tools,,2026-03-15,Home Depot,Tool Bags,10496,[],,strong,gm-19cf2444d6efb00f,The Home Depot,2026-03-15,31359,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1-edI43EIwShtWAM_tngrOn0saxuC1osZ/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19cf2444d6efb00f,10,753
BIZ-52,RECAST BIZ,Tools,,2026-03-15,Home Depot,Sander,7033,[],,strong,gm-19cf2444d6efb00f,The Home Depot,2026-03-15,31359,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1-edI43EIwShtWAM_tngrOn0saxuC1osZ/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19cf2444d6efb00f,10,753
BIZ-53,RECAST BIZ,Tools,,2026-03-15,Lowes,Level,1405,[],,strong,gm-19cf25c0bd386e41,"Lowe's Home Centers, LLC",2026-03-15,1405,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1EOC-K7bCn9ly0b-UN91I1rAM00bWOM8F/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19cf25c0bd386e41,1,0
BIZ-54,RECAST BIZ,Tools,,2026-03-19,Harbor Frieght,Pressure Washer ,40267,[],,strong,gm-19d0639545d977c3,Harbor Freight,2026-03-19,40267,dismissed,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1iqjFaIDnQkB7N4l6EgQX2iQ7f6r03qAc/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19d0639545d977c3,1,0
BIZ-55,RECAST BIZ,Tools,,2026-04-01,Home Depot,Angle Grinder,9634,[],,strong,gm-19d4918fa3edc702,The Home Depot,2026-04-01,28109,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1DQUzfVhHrQ-KzJy5jqxXXLbJpVT687ld/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19d4918fa3edc702,2,14984
BIZ-56,RECAST BIZ,Tools,,2026-04-01,Home Depot,Drill bits,2108,[],,weak,gm-19d4918fa3edc702,The Home Depot,2026-04-01,28109,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1DQUzfVhHrQ-KzJy5jqxXXLbJpVT687ld/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19d4918fa3edc702,2,
BIZ-57,RECAST BIZ,Tools,,2026-04-03,Harbor Frieght,Circ Saw,8225,[],,strong,gm-19d5372eebc4fd19,Harbor Freight,2026-04-03,8225,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1Vt1g-ESBEqheSw31JlR1t3btoUiHeeps/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19d5372eebc4fd19,1,0
BIZ-58,RECAST BIZ,Tools,,2026-04-05,Home Depot,Drill Bit,5409,[],,weak,gm-19ccf1f38113d4f9,The Home Depot,2026-03-08,10675,posted,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1YZP3vIlLKmDqA2Z2GYHiZhc4rLiQN0Xv/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19ccf1f38113d4f9,3,
BIZ-59,RECAST BIZ,Tools,,2026-04-09,Home Depot,Wire Strippers,1729,[],,strong,gm-19d7301fafc82a83,The Home Depot,2026-04-09,11124,dismissed,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1oVwucDJ4e1Y9iN6uDeSYUKUG_4c3gHI9/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19d7301fafc82a83,3,1612
BIZ-60,RECAST BIZ,Tools,,2026-04-13,Home Depot,Jig Saw,12698,[],,strong,gm-19d89042467353f7,The Home Depot,2026-04-13,12698,dismissed,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1IYKKZJiS-O81vaHOwwtZ0vL9LJLtotrV/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19d89042467353f7,1,0
BIZ-61,RECAST BIZ,Tools,,2026-06-16,The Home Depot,Router,15047,[],,strong,gm-19ed8190a6945042,The Home Depot,2026-06-16,58945,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19ed8190a6945042,8,24169
BIZ-62,RECAST BIZ,Tools,,2026-06-16,The Home Depot,Router Bit Set,3028,[],,strong,gm-19ed8190a6945042,The Home Depot,2026-06-16,58945,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19ed8190a6945042,8,24169
BIZ-63,RECAST BIZ,Tools,,2026-06-16,The Home Depot,Hole Saw,4760,[],,strong,gm-19ed8190a6945042,The Home Depot,2026-06-16,58945,pending,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19ed8190a6945042,8,24169
BIZ-64,RECAST BIZ,Tools,,2026-06-17,The Home Depot,Hole Saw Bit,2920,[],,strong,gm-19ed8195997d06ad,The Home Depot,2026-06-17,7788,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1RJK6W8exngKBTL9dhJVHUWLaJtJdP2ft/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19ed8195997d06ad,2,1947
BIZ-65,RECAST BIZ,Tools,,2026-06-17,The Home Depot,Tool Bag,2921,[],,strong,gm-19ed8195997d06ad,The Home Depot,2026-06-17,7788,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1RJK6W8exngKBTL9dhJVHUWLaJtJdP2ft/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19ed8195997d06ad,2,1947
BIZ-66,RECAST BIZ,Tools,,2026-06-17,The Home Depot,Screwdrivers,1837,[],,strong,gm-19edc17308bcd897,The Home Depot,2026-06-18,9636,error,PAUL,1030,104 Ashburne,,https://mail.google.com/mail/u/0/#all/19edc17308bcd897,3,6974
BIZ-67,RECAST BIZ,Tools,,2026-06-29,The Home Depot,"CHANNELLOCK 12"" TONGUE & GROOVE PLIER",2703,[],,weak,gm-19f13a69198b2b6c,The Home Depot,2026-06-29,3740,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1FGi9_EegpWd4aTwTVME7KCpdXgTVVCT0/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19f13a69198b2b6c,2,
BIZ-68,RECAST BIZ,Tools,,2026-08-07,The Home Depot,Milwaukee M12 FUEL Wet/Dry Vacuum (SKU 045242568116),16129,[],,id,gm-19fdce59eb5592c7,The Home Depot,2026-08-07,16129,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/11_r8UguQ_2I-0CPP2xYdlMNjdA_2TF8f/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19fdce59eb5592c7,1,0
BIZ-69,RECAST BIZ,Tools,,2026-08-10,The Home Depot,MKE M18 FUEL PACKOUT WET/DRY VAC (Milwaukee M18 Fuel Packout wet/dry vacuum),21542,[],,id,gm-19fece1687a92b8b,The Home Depot,2026-08-10,21542,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1vSuJAmWFfYkTXXrvyrlqQCG0pdS2Ow2v/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19fece1687a92b8b,1,0
BIZ-70,RECAST BIZ,Tools,,2026-08-10,Harbor Freight,HERCULES 4-1/2 in. 24T General-Purpose Circular Saw Blade (item 72739),1623,[],,id,gm-19fecb581cba0200,Harbor Freight Tools,2026-08-10,1623,pending,PAUL,6510,OVERHEAD,,https://mail.google.com/mail/u/0/#all/19fecb581cba0200,1,0
BIZ-71,RECAST BIZ,Tools,,2026-08-14,The Home Depot,"Milwaukee M18 FUEL 6-1/2 in. Circular Saw (tool only, 045242852208)",24789,[],,id,gm-1a00080f119b0d42,The Home Depot,2026-08-14,24789,dismissed,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1kLbC8h2_6rnyFgWrQCALNkmpnAm7xhQi/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/1a00080f119b0d42,1,0
BIZ-72,RECAST BIZ,Tools,,2026-09-02,The Home Depot,Husky 2-Tier Plastic 4-Wheeled Service Cart in Black (SKU 1000005206) incl. $7.0,15805,[],,id,gm-1a0637f9de324f8d,The Home Depot,2026-09-02,15805,pending,UNKNOWN,6510,OVERHEAD,,https://mail.google.com/mail/u/0/#all/1a0637f9de324f8d,1,0
BIZ-73,RECAST BIZ,Tools,,2026-09-05,"Lowe's Home Centers, LLC","KB 55-PC 3/8-INDR MECH SE (Kobalt 55-piece 3/8-in drive mechanic's tool set, ite",6493,[],,id,gm-1a07217d8a060601,"Lowe's Home Centers, LLC",2026-09-05,6493,dismissed,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1FjVZ5D6i_SUK6LNfqMc2x1LdNofl2sQb/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/1a07217d8a060601,1,0
BIZ-74,RECAST BIZ,Materials,,2026-05-30,Lowe's Home Improvement,"1/2IN X 6IN Cut-Off Riser, Poly (irrigation/sprinkler riser, item #5225374)",92,[],,id,gm-19e79a903622d62d,"Lowe's Home Centers, LLC",2026-05-30,2458,pending,PAUL,,,,https://mail.google.com/mail/u/0/#all/19e79a903622d62d,2,1405
BIZ-75,RECAST BIZ,Materials,,2026-05-30,Lowe's Home Improvement,"1/2-IN K1 Rotor (K-Rain K1 sprinkler rotor head, item #280217)",961,[],,id,gm-19e79a903622d62d,"Lowe's Home Centers, LLC",2026-05-30,2458,pending,PAUL,,,,https://mail.google.com/mail/u/0/#all/19e79a903622d62d,2,1405
