docId,doc_date,vendor,receipt,old_rows,old_rows_total,gap,kind,items_that_sum_to_gap,rows,link
gm-19ce7245dbb4ed86,2026-03-13,"Lowe's Home Centers, LLC",109.14,1,48.32,60.82,receipt > rows: return or omitted item?,"Mapei Ultracolor Plus FA grout #5222 Honey Butter (SKU 5351590), incl. tax share 6.73 + Ultracolor Plus 10 lb grout #507 (SKU 778323), incl. tax share 27.05 + Ultracolor Plus 10 lb grout #500 (SKU 1024929), incl. tax share 27.04",104 Ashburne/Paint & Flooring Lowes 48.32,https://drive.google.com/file/d/1gn9pyhkWH1jzk9eyvwixamTRYDtx4l2p/view?usp=drivesdk
gm-19c48c68567fa017,2026-02-10,The Home Depot,200.87,5,147.56,53.31,receipt > rows: return or omitted item?,,RECAST BIZ/Tools Home Depot 4.84 | RECAST BIZ/Tools Home Depot 17.29 | RECAST BIZ/Tools Home Depot 31.37 | 104 Ashburne/Lighting & Electrical Home Depot 86.51 | 104 Ashburne/Lighting & Electrical Home Depot 7.55,https://mail.google.com/mail/u/0/#all/19c48c68567fa017
gm-1a0679d10dfb58fc,2026-09-03,The Home Depot,55.87,2,9.16,46.71,receipt > rows: return or omitted item?,"Glidden MultiPro interior flat ultra-pure white, 3 @ 17.98 less 10.79 Pro Paint  46.71",469 Brushwood/ Home Depot 3.77 | 469 Brushwood/ Home Depot 5.39,https://drive.google.com/file/d/1Cc5n079-sBSgOR_WLedbPXyISMXyWHyF/view?usp=drivesdk
gm-19c66d875dd9e7bd,2026-02-16,The Home Depot,183.38,4,136.83,46.55,receipt > rows: return or omitted item?,,104 Ashburne/Lighting & Electrical Home Depot 56.20 | 104 Ashburne/Supplies Home Depot 39.75 | 104 Ashburne/Supplies Home Depot 4.16 | 104 Ashburne/Master Bath Home Depot 36.72,https://mail.google.com/mail/u/0/#all/19c66d875dd9e7bd
gm-19cbe5c17963dd8d,2026-03-05,The Home Depot,425.84,3,380.93,44.91,receipt > rows: return or omitted item?,,104 Ashburne/Lighting & Electrical Home Depot 8.57 | 104 Ashburne/Lighting & Electrical Home Depot 6.47 | 104 Ashburne/Master Bath Home Depot 365.89,https://drive.google.com/file/d/1gniTPBB0vQqeJoqsmahTyb4DWliz0U-y/view?usp=drivesdk
gm-19e8f7927b019869,2026-05-28,The Home Depot,406.83,2,363.56,43.27,receipt > rows: return or omitted item?,4x100 PB weed-block landscape fabric $39.97 incl. tax share 43.27,1616 Granite RECONCILED/ Home Depot 346.27 | 1616 Granite RECONCILED/ Home Depot 17.29,https://drive.google.com/file/d/1-D7gy0eoO-BCQI5WatCIdE_RbkFiYJFN/view?usp=drivesdk
gm-19cd5489c5fd928b,2026-03-09,The Home Depot,83.83,1,42.74,41.09,receipt > rows: return or omitted item?,,104 Ashburne/Paint & Flooring Home Depot 42.74,https://mail.google.com/mail/u/0/#all/19cd5489c5fd928b
gm-19edc17308bcd897,2026-06-18,The Home Depot,96.36,4,55.82,40.54,receipt > rows: return or omitted item?,"1/2"" IPS steel hinged flange plate, 6 @ 5.98 38.84 + Machine screw SS comb rnd #10 x 1-1/2 1.70",RECAST BIZ/Tools The Home Depot 29.20 | RECAST BIZ/Tools The Home Depot 18.37 | 104 Ashburne/Supplies Home Depot 4.85 | 104 Ashburne/Supplies Home Depot 3.40,https://mail.google.com/mail/u/0/#all/19edc17308bcd897
gm-19edabdf68ad91f0,2026-06-18,The Home Depot,47.93,1,8.10,39.83,receipt > rows: return or omitted item?,"1x4x6 No.2 lumber, 6 @ 6.97 less Pro Xtra Preferred Pricing -5.02, incl. share o 39.83",104 Ashburne/Supplies Home Depot 8.10,https://drive.google.com/file/d/14Vwq9UQyvA4guQDR9a0hjNvt71QqaZKP/view?usp=drivesdk
gm-19d492744d5f21c2,2026-04-01,"Lowe's Home Centers, LLC",55.01,1,20.55,34.46,receipt > rows: return or omitted item?,"PVC quarter round 3/4in x 3/4in, 4 @ 7.96 (SKU 209628), incl. share of TX sales  34.46",104 Ashburne/House Hardware Lowes 20.55,https://drive.google.com/file/d/1YkAr1WEdFP_PiUVk3AkFQ4ob9RdZeaZs/view?usp=drivesdk
gm-19bae03eddedc8bc,2026-01-11,The Home Depot,170.63,10,137.88,32.75,receipt > rows: return or omitted item?,,RECAST BIZ/Tools Home Depot 14.04 | RECAST BIZ/Tools Home Depot 23.78 | RECAST BIZ/Tools Home Depot 14.04 | RECAST BIZ/Tools Home Depot 31.37 | 104 Ashburne/Lighting & Electrical Home Depot 25.94 | 104 Ashburne/Supplies Home Depot 4.48 | 104 Ashburne/Supplies Home Depot 3.12 | 104 Ashburne/Supplies ,https://mail.google.com/mail/u/0/#all/19bae03eddedc8bc
gm-19f237650c695b39,2026-07-01,The Home Depot,118.15,3,85.68,32.47,receipt > rows: return or omitted item?,,881 Newport/ Home Depot 28.56 | 881 Newport/ Home Depot 28.56 | 881 Newport/ Home Depot 28.56,https://drive.google.com/file/d/14pcmNaLOCy7mp_NenfuqW5WHanIhH_lg/view?usp=drivesdk
gm-19e8f7e6652f7e3e,2026-05-31,The Home Depot,51.74,3,19.29,32.45,receipt > rows: return or omitted item?,,136 Bowling Green/ Home Depot 5.06 | 1616 Granite RECONCILED/ Home Depot 5.06 | 1616 Granite RECONCILED/ Home Depot 9.17,https://mail.google.com/mail/u/0/#all/19e8f7e6652f7e3e
gm-19cb9e86dc1c5092,2026-03-04,The Home Depot,39.96,1,7.51,32.45,receipt > rows: return or omitted item?,HUSKY 42G contractor bags 50ct (incl. share of sales tax) 32.45,104 Ashburne/Supplies Home Depot 7.51,https://mail.google.com/mail/u/0/#all/19cb9e86dc1c5092
gm-19f13a69198b2b6c,2026-06-29,The Home Depot,37.40,2,5.21,32.19,receipt > rows: return or omitted item?,,280 Sparkling RECONCILED/ Home Depot 2.79 | 280 Sparkling RECONCILED/ Home Depot 2.42,https://drive.google.com/file/d/1FGi9_EegpWd4aTwTVME7KCpdXgTVVCT0/view?usp=drivesdk
gm-19e8f7c50d0fbad4,2026-05-29,The Home Depot,29.65,1,4.73,24.92,receipt > rows: return or omitted item?,"Universal Super Flapper and Performax toilet repair kit, 21.98 less 2.64 Pro Xtr 20.94 + Titebond I Original wood glue 8 oz, incl. tax share 3.98",1616 Granite RECONCILED/ Home Depot 4.73,https://drive.google.com/file/d/1B1dGPUwTiBzqegKQxibYNT5iewFFY6Bu/view?usp=drivesdk
gm-19ebc1789358c9a5,2026-06-12,50Floor,"1,339.00",1,"1,319.00",20.00,receipt > rows: return or omitted item?,,"1616 Granite RECONCILED/ 50floor 1,319.00",https://mail.google.com/mail/u/0/#all/19ebc1789358c9a5
gm-19d3a708f16b12eb,2026-03-29,The Home Depot,25.73,1,5.81,19.92,receipt > rows: return or omitted item?,"5 @ $3.68 - 5/8"" x 5-1/2"" x 8' PT pine dog-ear fence pickets (incl. share of tax 19.92",104 Ashburne/Small Baths Home Depot 5.81,https://drive.google.com/file/d/1zpsw1UtLt56dMKgx0tBeOEqf_R9zHYQd/view?usp=drivesdk
gm-19e8d21354ffd672,2026-06-03,Uber,94.98,1,113.98,-19.00,"rows > receipt: another receipt, or a typed amount to check",,RECAST BIZ/Travel Uber 113.98,https://mail.google.com/mail/u/0/#all/19e8d21354ffd672
gm-19d019ce67d9c5c3,2026-03-18,The Home Depot,54.47,2,36.08,18.39,receipt > rows: return or omitted item?,"Threaded rod, zinc 36 x 8-32 ($2.84 + tax) 3.08 + GRK Deck Elite wood screw 9x3 in, 80 pk ($14.15 + tax) 15.31",104 Ashburne/Trash Home Depot 32.44 | 104 Ashburne/Supplies Home Depot 3.64,https://drive.google.com/file/d/1hpwvObYLqmaPSSlup2IP9TsvwJ37Q46L/view?usp=drivesdk
gm-19e8f7613aa25c25,2026-05-27,The Home Depot,596.54,3,612.80,-16.26,"rows > receipt: another receipt, or a typed amount to check",,104 Ashburne/Supplies Home Depot 3.72 | 1616 Granite RECONCILED/ Home Depot 596.54 | 280 Sparkling RECONCILED/ Home Depot 12.54,https://mail.google.com/mail/u/0/#all/19e8f7613aa25c25
gm-19d535a923f6b186,2026-04-03,"Lowe's Home Centers, LLC",341.72,9,326.67,15.05,receipt > rows: return or omitted item?,,104 Ashburne/House Hardware Lowes 156.94 | 104 Ashburne/Lighting & Electrical Lowes 80.06 | 104 Ashburne/Lighting & Electrical Lowes 7.53 | 104 Ashburne/Supplies Lowes 4.31 | 104 Ashburne/Supplies Lowes 18.38 | 104 Ashburne/Supplies Lowes 18.38 | 104 Ashburne/Supplies Lowes 28.12 | 104 Ashburne/Supp,https://mail.google.com/mail/u/0/#all/19d535a923f6b186
gm-19e79a903622d62d,2026-05-30,"Lowe's Home Centers, LLC",24.58,2,10.53,14.05,receipt > rows: return or omitted item?,,RECAST BIZ/Materials Lowe's Home Improvement 0.92 | RECAST BIZ/Materials Lowe's Home Improvement 9.61,https://mail.google.com/mail/u/0/#all/19e79a903622d62d
gm-1a0a0befad5d6040,2026-09-05,"Lowe's Home Centers, LLC",28.06,2,15.11,12.95,receipt > rows: return or omitted item?,"APOC 109 10-oz asphalt roof cement (SKU 1060920), 2 @ 5.98 = 11.96 incl. tax sha 12.95",881 Newport/ Lowes 7.01 | 469 Brushwood/ Lowes 8.10,https://mail.google.com/mail/u/0/#all/1a0a0befad5d6040
gm-19e8f7ef66615f5a,2026-06-02,Tom Thumb,31.87,1,19.45,12.42,receipt > rows: return or omitted item?,"Bottled water 3.98, Fritos 1.00, deli turkey sliders 3ct 6.79 + 0.65 tax 12.42",1616 Granite RECONCILED/ Tom Thumb 19.45,https://mail.google.com/mail/u/0/#all/19e8f7ef66615f5a
gm-19f386e1e70d7f5a,2026-07-06,Tiger Mart #20,21.63,1,10.81,10.82,receipt > rows: return or omitted item?,,RECAST BIZ/Office Tiger Mart #20 (Exxon) 10.81,https://drive.google.com/file/d/1ym7ReQcMo6eI5B8rmKIX9pXznlYUGhil/view?usp=drivesdk
gm-1a0622070be6c806,2026-09-02,Amazon,137.06,1,126.61,10.45,receipt > rows: return or omitted item?,,RECAST BIZ/Marketing Amazon.com 126.61,https://mail.google.com/mail/u/0/#all/1a0622070be6c806
gm-19d98540dce2874d,2026-04-16,Window Man Window Cleaning,848.68,1,858.68,-10.00,"rows > receipt: another receipt, or a typed amount to check",,104 Ashburne/Cleaning Window Man 858.68,https://mail.google.com/mail/u/0/#all/19d98540dce2874d
gm-19bae832dd56cffa,2026-01-10,The Home Depot,83.41,1,75.73,7.68,receipt > rows: return or omitted item?,"#10-12x1-1/4"" plastic ribbed anchors 10pk 3.48 + #8-10x1"" plastic anchors 10pc 3 7.68",104 Ashburne/HVAC Home Depot 75.73,https://drive.google.com/file/d/1MSEWqlv-p5Io13ETuZrQjNog8nPylIEO/view?usp=drivesdk
gm-19d2501dd152fc92,2026-03-25,The Home Depot,241.50,1,247.89,-6.39,"rows > receipt: another receipt, or a typed amount to check",,RECAST BIZ/Tools Home Depot 247.89,https://mail.google.com/mail/u/0/#all/19d2501dd152fc92
