txn_id,date,property,trade,account,account_source,amount_cents,payee,description,paid_from,paid_from_source,source,docId,doc_url,link_kind,match,old_tab,old_block,old_sheet_row,flags,correction,skip,business_purpose,attendee
migration-20260215-68f8abc52834,2026-02-15,OVERHEAD,,6510,read,1188,Home Depot,Saw Blade,PAUL,read,migration,gm-19c66a1cdb487a56,https://drive.google.com/file/d/1LWOHxyo0yarxeZRyUfHTkNcRJF-6NklW/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260216-678771dda3c4,2026-02-16,OVERHEAD,,6510,read,5951,Home Depot,Saw Horses,PAUL,read,migration,gm-19c66a1cdb487a56,https://drive.google.com/file/d/1LWOHxyo0yarxeZRyUfHTkNcRJF-6NklW/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260216-9d5f6b42fca4,2026-02-16,OVERHEAD,,6510,block map (read said a property account),2375,Home Depot,Scrapers,PAUL,read,migration,gm-19caba0d41d86d9b,https://mail.google.com/mail/u/0/#all/19caba0d41d86d9b,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260216-72564202c851,2026-02-16,OVERHEAD,,6510,block map (read said a property account),1081,Harbor Freight,Masonary Drill Bits,PAUL,read,migration,gm-19c678226649aa40,https://mail.google.com/mail/u/0/#all/19c678226649aa40,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260216-e152bcf72cfa,2026-02-16,OVERHEAD,,6510,block map (read said a property account),2164,Harbor Freight,Wire Strippers,PAUL,read,migration,gm-19c678226649aa40,https://mail.google.com/mail/u/0/#all/19c678226649aa40,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260216-03e00eba70f7,2026-02-16,OVERHEAD,,6510,block map (read said a property account),3462,Harbor Freight,Roto Hammer Bits,PAUL,read,migration,gm-19c678226649aa40,https://mail.google.com/mail/u/0/#all/19c678226649aa40,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260216-4af9f8e28f91,2026-02-16,OVERHEAD,,6510,block map,12448,Harbor Freight,Roto Hammer Drill,PAUL,D-026.2 (before August),migration,,,,weak,RECAST BIZ,Tools,,WEAK_MATCH_UNCONFIRMED,,,,
migration-20260216-5004ecf7791c,2026-02-16,OVERHEAD,,6510,block map (read said a property account),4329,Harbor Freight,Stapler,PAUL,read,migration,gm-19c678226649aa40,https://mail.google.com/mail/u/0/#all/19c678226649aa40,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260216-f421999922d3,2026-02-16,OVERHEAD,,6510,block map (read said a property account),2705,Harbor Freight,Extension Cord,PAUL,read,migration,gm-19c678226649aa40,https://mail.google.com/mail/u/0/#all/19c678226649aa40,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260217-bc6dc529a566,2026-02-17,OVERHEAD,,6510,block map (read said a property account),265,Home Depot,Shark Bite Tool,PAUL,read,migration,gm-19caba0d41d86d9b,https://mail.google.com/mail/u/0/#all/19caba0d41d86d9b,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260217-92f64508f50f,2026-02-17,OVERHEAD,,6510,block map (read said a property account),1296,Home Depot,Tub Drain Wrench,PAUL,read,migration,gm-19c6be8d0bd458c9,https://drive.google.com/file/d/1ABT-SXtJzBn3B68By2GfyyIEM0lf-6IY/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260218-39295bde44f6,2026-02-18,OVERHEAD,,6510,block map (read said a property account),1946,Home Depot,Speed Square,PAUL,read,migration,gm-19c7092d542413e0,https://drive.google.com/file/d/1ZaeV34-njGwfksiujmaF7ZrC-ABFg6bA/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260218-86d0b224f1f7,2026-02-18,OVERHEAD,,6510,block map (read said a property account),1296,Home Depot,Adjustable Square,PAUL,read,migration,gm-19c6be8d0bd458c9,https://drive.google.com/file/d/1ABT-SXtJzBn3B68By2GfyyIEM0lf-6IY/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260219-5efb3d9f0c84,2026-02-19,OVERHEAD,,6510,block map (read said a property account),3137,Home Depot,Bin/Tote,PAUL,read,migration,gm-19c768d3b6197026,https://drive.google.com/file/d/1981pmNyhpzmog5-cgUGTTb3rjMxSE14Q/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260219-52e1e2560cf4,2026-02-19,OVERHEAD,,6510,block map (read said a property account),2378,Home Depot,Utiliy Knives,PAUL,read,migration,gm-19c768d3b6197026,https://drive.google.com/file/d/1981pmNyhpzmog5-cgUGTTb3rjMxSE14Q/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260220-ef343b614d66,2026-02-20,OVERHEAD,,6510,block map (read said a property account),1729,Home Depot,Pipe cutter,PAUL,read,migration,gm-19c7bb272d77da5a,https://drive.google.com/file/d/10cINuDYio3iwttUc8IRW1OR-px6sXc6V/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260302-af80a6a046d9,2026-03-02,OVERHEAD,,6510,read,2270,Home Depot,Hole Punches,PAUL,read,migration,gm-19caf33c58069d0d,https://mail.google.com/mail/u/0/#all/19caf33c58069d0d,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260302-b7cb167c289e,2026-03-02,OVERHEAD,,6510,read,19699,Home Depot,Sunp Pump & Hose,PAUL,read,migration,gm-19caf33c58069d0d,https://mail.google.com/mail/u/0/#all/19caf33c58069d0d,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260311-bd62583452ed,2026-03-11,OVERHEAD,,6510,read,2921,Home Depot,Tool Bag,PAUL,read,migration,gm-19cde962bea0354f,https://drive.google.com/file/d/1gZA5gdGfSyjnCAn3lTYWXoJzuRYOiYSk/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260312-6b0ba62776b2,2026-03-12,OVERHEAD,,6510,block map (read said a property account),62569,Home Depot,Finish Nailer & Charger,PAUL,read,migration,gm-19ce39f32dd9c9c0,https://mail.google.com/mail/u/0/#all/19ce39f32dd9c9c0,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260315-c221afa155c0,2026-03-15,OVERHEAD,,6510,block map (read said a property account),10496,Home Depot,Tool Bags,PAUL,read,migration,gm-19cf2444d6efb00f,https://drive.google.com/file/d/1-edI43EIwShtWAM_tngrOn0saxuC1osZ/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260315-199724b3892a,2026-03-15,OVERHEAD,,6510,block map (read said a property account),7033,Home Depot,Sander,PAUL,read,migration,gm-19cf2444d6efb00f,https://drive.google.com/file/d/1-edI43EIwShtWAM_tngrOn0saxuC1osZ/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260315-2370fc13957a,2026-03-15,OVERHEAD,,6510,read,1405,Lowes,Level,PAUL,read,migration,gm-19cf25c0bd386e41,https://drive.google.com/file/d/1EOC-K7bCn9ly0b-UN91I1rAM00bWOM8F/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260319-6f2cfec4b22d,2026-03-19,OVERHEAD,,6510,read,40267,Harbor Frieght,Pressure Washer ,PAUL,read,migration,gm-19d0639545d977c3,https://drive.google.com/file/d/1iqjFaIDnQkB7N4l6EgQX2iQ7f6r03qAc/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260401-3f2aaa8ce508,2026-04-01,OVERHEAD,,6510,block map (read said a property account),9634,Home Depot,Angle Grinder,PAUL,read,migration,gm-19d4918fa3edc702,https://drive.google.com/file/d/1DQUzfVhHrQ-KzJy5jqxXXLbJpVT687ld/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260401-5adc9fe512de,2026-04-01,OVERHEAD,,6510,block map,2108,Home Depot,Drill bits,PAUL,D-026.2 (before August),migration,,,,weak,RECAST BIZ,Tools,,WEAK_MATCH_UNCONFIRMED,,,,
migration-20260403-e62fa68f250b,2026-04-03,OVERHEAD,,6510,read,8225,Harbor Frieght,Circ Saw,PAUL,read,migration,gm-19d5372eebc4fd19,https://drive.google.com/file/d/1Vt1g-ESBEqheSw31JlR1t3btoUiHeeps/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260405-ad83542064da,2026-04-05,OVERHEAD,,6510,block map,5409,Home Depot,Drill Bit,PAUL,D-026.2 (before August),migration,,,,weak,RECAST BIZ,Tools,,WEAK_MATCH_UNCONFIRMED,,,,
migration-20260409-261bd5aa2681,2026-04-09,OVERHEAD,,6510,block map (read said a property account),1729,Home Depot,Wire Strippers,PAUL,read,migration,gm-19d7301fafc82a83,https://drive.google.com/file/d/1oVwucDJ4e1Y9iN6uDeSYUKUG_4c3gHI9/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260413-a09efe9e1ca5,2026-04-13,OVERHEAD,,6510,read,12698,Home Depot,Jig Saw,PAUL,read,migration,gm-19d89042467353f7,https://drive.google.com/file/d/1IYKKZJiS-O81vaHOwwtZ0vL9LJLtotrV/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260616-ef8fb1d7e3d1,2026-06-16,OVERHEAD,,6510,block map (read said a property account),15047,The Home Depot,Router,PAUL,read,migration,gm-19ed8190a6945042,https://mail.google.com/mail/u/0/#all/19ed8190a6945042,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260616-2e0a3b5b94a5,2026-06-16,OVERHEAD,,6510,block map (read said a property account),3028,The Home Depot,Router Bit Set,PAUL,read,migration,gm-19ed8190a6945042,https://mail.google.com/mail/u/0/#all/19ed8190a6945042,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260616-ec221bbc1127,2026-06-16,OVERHEAD,,6510,block map (read said a property account),4760,The Home Depot,Hole Saw,PAUL,read,migration,gm-19ed8190a6945042,https://mail.google.com/mail/u/0/#all/19ed8190a6945042,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260617-3be54888ea29,2026-06-17,OVERHEAD,,6510,read,2920,The Home Depot,Hole Saw Bit,PAUL,read,migration,gm-19ed8195997d06ad,https://drive.google.com/file/d/1RJK6W8exngKBTL9dhJVHUWLaJtJdP2ft/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260617-4f1944a7ff6e,2026-06-17,OVERHEAD,,6510,read,2921,The Home Depot,Tool Bag,PAUL,read,migration,gm-19ed8195997d06ad,https://drive.google.com/file/d/1RJK6W8exngKBTL9dhJVHUWLaJtJdP2ft/view?usp=drivesdk,drive,strong,RECAST BIZ,Tools,,,,,,
migration-20260617-fd8e2760a753,2026-06-17,OVERHEAD,,6510,block map (read said a property account),1837,The Home Depot,Screwdrivers,PAUL,read,migration,gm-19edc17308bcd897,https://mail.google.com/mail/u/0/#all/19edc17308bcd897,gmail,strong,RECAST BIZ,Tools,,,,,,
migration-20260629-66ef2be7fb66,2026-06-29,OVERHEAD,,6510,block map,2703,The Home Depot,"CHANNELLOCK 12"" TONGUE & GROOVE PLIER",PAUL,D-026.2 (before August),migration,,,,weak,RECAST BIZ,Tools,,WEAK_MATCH_UNCONFIRMED,,,,
migration-20260807-58b7e6d5d150,2026-08-07,OVERHEAD,,6510,read,16129,The Home Depot,Milwaukee M12 FUEL Wet/Dry Vacuum (SKU 045242568116),PAUL,read,migration,gm-19fdce59eb5592c7,https://drive.google.com/file/d/11_r8UguQ_2I-0CPP2xYdlMNjdA_2TF8f/view?usp=drivesdk,drive,id,RECAST BIZ,Tools,,,,,,
migration-20260810-5523e076500c,2026-08-10,OVERHEAD,,6510,read,21542,The Home Depot,MKE M18 FUEL PACKOUT WET/DRY VAC (Milwaukee M18 Fuel Packout wet/dry vacuum),PAUL,read,migration,gm-19fece1687a92b8b,https://drive.google.com/file/d/1vSuJAmWFfYkTXXrvyrlqQCG0pdS2Ow2v/view?usp=drivesdk,drive,id,RECAST BIZ,Tools,,,,,,
migration-20260810-0dce5d3b95ab,2026-08-10,OVERHEAD,,6510,read,1623,Harbor Freight,HERCULES 4-1/2 in. 24T General-Purpose Circular Saw Blade (item 72739),PAUL,read,migration,gm-19fecb581cba0200,https://mail.google.com/mail/u/0/#all/19fecb581cba0200,gmail,id,RECAST BIZ,Tools,,,,,,
migration-20260814-7066a485f653,2026-08-14,OVERHEAD,,6510,read,24789,The Home Depot,"Milwaukee M18 FUEL 6-1/2 in. Circular Saw (tool only, 045242852208)",PAUL,read,migration,gm-1a00080f119b0d42,https://drive.google.com/file/d/1kLbC8h2_6rnyFgWrQCALNkmpnAm7xhQi/view?usp=drivesdk,drive,id,RECAST BIZ,Tools,,,,,,
migration-20260902-72434830e215,2026-09-02,OVERHEAD,,6510,read,15805,The Home Depot,Husky 2-Tier Plastic 4-Wheeled Service Cart in Black (SKU 1000005206) incl. $7.0,PAUL,Paul: 2026-09-18: the other 33 August-onward rows with no payer - 'all personal card ending in 9166',migration,gm-1a0637f9de324f8d,https://mail.google.com/mail/u/0/#all/1a0637f9de324f8d,gmail,id,RECAST BIZ,Tools,,,,,,
migration-20260905-dd7f869113fe,2026-09-05,OVERHEAD,,6510,read,6493,"Lowe's Home Centers, LLC","KB 55-PC 3/8-INDR MECH SE (Kobalt 55-piece 3/8-in drive mechanic's tool set, ite",PAUL,read,migration,gm-1a07217d8a060601,https://drive.google.com/file/d/1FjVZ5D6i_SUK6LNfqMc2x1LdNofl2sQb/view?usp=drivesdk,drive,id,RECAST BIZ,Tools,,,,,,
migration-20260530-b6b2af9944c6,2026-05-30,OVERHEAD,,6500,block map,92,Lowe's Home Improvement,"1/2IN X 6IN Cut-Off Riser, Poly (irrigation/sprinkler riser, item #5225374)",PAUL,read,migration,gm-19e79a903622d62d,https://mail.google.com/mail/u/0/#all/19e79a903622d62d,gmail,id,RECAST BIZ,Materials,,,,,,
migration-20260530-1531c27e5719,2026-05-30,OVERHEAD,,6500,block map,961,Lowe's Home Improvement,"1/2-IN K1 Rotor (K-Rain K1 sprinkler rotor head, item #280217)",PAUL,read,migration,gm-19e79a903622d62d,https://mail.google.com/mail/u/0/#all/19e79a903622d62d,gmail,id,RECAST BIZ,Materials,,,,,,
migration-20260819-4061a9ae9b42,2026-08-19,OVERHEAD,,6510,read,20874,Advanced Repair Technology,ART SK101 Starter Kit (Flex-Tec HV epoxy wood repair system w/ 300LV dispensing ,PAUL,Paul: 2026-09-18: the other 33 August-onward rows with no payer - 'all personal card ending in 9166',migration,gm-1a01aa2812b9cc89,https://mail.google.com/mail/u/0/#all/1a01aa2812b9cc89,gmail,id,RECAST BIZ,Materials,,,,,,
migration-20260607-5f82fdfbfc2f,2026-06-07,OVERHEAD,,6400,read,500,"Telnyx, LLC",Telnyx account payment / prepaid communications credit (transaction ID 297735660,PAUL,read,migration,gm-19ea45f454339838,https://mail.google.com/mail/u/0/#all/19ea45f454339838,gmail,id,RECAST BIZ,Marketing,,,,,,
migration-20260621-14d10207702e,2026-06-21,OVERHEAD,,6000,block map,17099,VistaPrint,Real Estate Sign Riders,PAUL,D-026.2 (before August),migration,,,,weak,RECAST BIZ,Marketing,,WEAK_MATCH_UNCONFIRMED,,,,
migration-20260621-48d2e792d58c,2026-06-21,OVERHEAD,,6000,read,14769,VistaPrint,Real Estate Yard Signs,PAUL,read,migration,gm-19e2257005de0d6e,https://mail.google.com/mail/u/0/#all/19e2257005de0d6e,gmail,strong,RECAST BIZ,Marketing,,,,,,
migration-20260624-220b6b8cffac,2026-06-24,OVERHEAD,,6000,block map,673,The Home Depot,Zip ties for signs,PAUL,D-026.2 (before August),migration,,,,none,RECAST BIZ,Marketing,,NO_DOC,,,,
migration-20260628-a19debbefd02,2026-06-28,OVERHEAD,,6720,read,10000,Uber,Gift card for 280 sparkling neighbors,PAUL,read,migration,gm-19f105b8c0ff655c,https://mail.google.com/mail/u/0/#all/19f105b8c0ff655c,gmail,id,RECAST BIZ,Marketing,,,,,Migrated from the old books (Marketing): Gift card for 280 sparkling neighbors,per the old books
migration-20260902-ff698764a637,2026-09-02,OVERHEAD,,6400,read,500,Telnyx LLC,Telnyx account payment - VoIP/telephony service credit (transaction #30404046459,PAUL,read,migration,gm-1a0645b04525b4ed,https://mail.google.com/mail/u/0/#all/1a0645b04525b4ed,gmail,id,RECAST BIZ,Marketing,,,,,,
migration-20260608-76b01e5ed478,2026-06-08,OVERHEAD,,6400,read,500,"Telnyx, LLC",Telnyx account payment,PAUL,read,migration,gm-19ea92753a8a0957,https://drive.google.com/file/d/1s1nPTYbRuATCF2PyNgzOzq3p6Jgc0nsi/view?usp=drivesdk,drive,strong,RECAST BIZ,Marketing,,,,,,
migration-20260609-361574eb0b65,2026-06-09,OVERHEAD,,6400,read,5000,"Telnyx, LLC",Telnyx account payment,PAUL,read,migration,gm-19ead1df86fb971c,https://drive.google.com/file/d/1P-5Fb4i7p4zIhGSkh4r3wbstfkggQSSO/view?usp=drivesdk,drive,strong,RECAST BIZ,Marketing,,,,,,
migration-20260902-c83153c60423,2026-09-02,OVERHEAD,,6510,read,12661,Amazon.com,Camera Gimbal - Amazon order #111-1699514-3146617 - 1 Camera item (product not s,1401,Paul: 2026-09-18: camera gimbal - 'that one is recast joint account - citizens',migration,gm-1a0622070be6c806,https://mail.google.com/mail/u/0/#all/1a0622070be6c806,gmail,id,RECAST BIZ,Marketing,,,,,,
migration-20260903-6a3a3b516b9e,2026-09-03,OVERHEAD,,6400,read,500,Telnyx LLC,Telnyx account payment - VoIP/telephony account credit (transaction ID 304078679,PAUL,read,migration,gm-1a06712197566970,https://mail.google.com/mail/u/0/#all/1a06712197566970,gmail,id,RECAST BIZ,Marketing,,,,,,
